ltla21_code,ltla21_name,Households assessed as threatened with homelessness per (000s),Households assessed as homeless per (000s),"Households in temporary accommodation per 1,000","Households on housing waiting list per 1,000",Social housing stock as a proportion of all households,Vacant dwellings,housing_and_homelessness_composite_score,housing_and_homelessness_composite_rank,housing_and_homelessness_composite_quantiles
E07000135,Oadby & Wigston,1.5202622452373,2.32790156301962,2.13786878236496,30.575221238938052,0.05269911504424779,11,3.422077922077922,228,8
E08000004,Oldham,3.0388853285924,3.61772062927666,3.92781096892895,74.56498388829216,0.02253490870032223,38,4.496753246753247,300,10
E07000178,Oxford,1.5396897810219,1.50167274939173,2.16697080291971,32.89855072463768,0.1411413043478261,170,2.5357142857142856,81,3
E07000122,Pendle,1.79365400161681,0.530517380759903,0.303152789005659,37.27034120734909,0,3,2.75974025974026,117,4
E06000031,Peterborough,3.34472478731913,1.78142950628954,4.07183887151894,68.93491124260355,0,22,4.457792207792208,297,10
E06000026,Plymouth,1.38179419289847,2.70118477708539,3.45894288286843,91.07329842931937,0,0,4.623376623376624,305,10
E06000044,Portsmouth,2.36443017232847,4.55290275043714,4.60788949863083,10.29002320185615,0.17187935034802784,194,2.909090909090909,140,5
E07000123,Preston,0.527471031631247,0.799714144731245,NA,54.24496644295302,0,0,3.594155844155844,246,8
E06000038,Reading,2.53006355641584,2.86537318437457,3.71888860099678,47.07533234859675,0.10076809453471196,133,3.6298701298701297,249,9
E09000026,Redbridge,0.69610812276816,1.65438683722822,26.7323599873435,67.4059787849566,0.04287367405978785,46,3.418831168831169,226,8
E06000003,Redcar & Cleveland,0.828953953953954,0.782032032032032,0.344094094094094,47.5,0,0,2.779220779220779,122,4
E07000236,Redditch,1.77180302050229,2.27803245493152,0.899963438985291,48.13186813186813,0.1539835164835165,80,3,152,5
E07000211,Reigate & Banstead,1.34868421052632,0.740131578947368,2.77960526315789,19.280936454849495,0,33,2.758116883116883,116,4
E07000124,Ribble Valley,0.145317154690111,0.690256484778028,0.254305020707695,33.89513108614232,0,0,2.2759740259740258,56,2
E09000027,Richmond upon Thames,0.38701051964958,1.05548323540794,6.0748923993479496,64.11400247831475,0,0,3.5779220779220777,244,8
E07000166,Richmondshire,1.05941555575174,1.2359848150437,0.220711574114947,24.545454545454543,0.07071770334928229,31,1.987012987012987,30,1
E08000005,Rochdale,3.10353866317169,1.23722149410223,2.11795543905636,86.48558758314856,0,0,4.532467532467533,302,10
E07000075,Rochford,0.886132033673017,0.996898537882144,2.04918032786885,26.264044943820224,0,0,3.090909090909091,176,6
E07000125,Rossendale,4.74201551361367,0.690889677480137,0.65948560123104,43.071895424836605,0,1,3.4237012987012987,229.5,8
E07000064,Rother,1.38909990666985,1.80148894146246,3.0386560458403,45.510688836104514,0,1,3.8977272727272725,273,9
E08000018,Rotherham,1.14266773664562,2.04982380237954,0.375074142563065,57.9982440737489,0.17587357330992098,271,2.1623376623376624,49,2
