Date,Week,Backlog of visa applications - Homes for Ukraine,Backlog of visa applications - Family Scheme,Backlog of visa applications - Super Sponsor,Backlog of visas issued - Homes for Ukraine,Backlog of visas issued - Family Scheme,Backlog of visas issued - Super Sponsor,Backlog of visas issued - Homes for Ukraine (upper bound),Backlog of visas issued - Family Scheme (upper bound),Backlog of visas issued - Super Sponsor (upper bound),Backlog of visas issued - Homes for Ukraine (lower bound),Backlog of visas issued - Family Scheme (lower bound),Backlog of visas issued - Super Sponsor (lower bound),Weekly applications - Homes for Ukraine,Weekly applications - Family Scheme,Arrival rate - Homes for Ukraine,Arrival rate - Family Scheme,Arrival rate - Super Sponsor,Arrival rate - Homes for Ukraine (upper bound),Arrival rate - Family Scheme (upper bound),Arrival rate - Super Sponsor (upper bound),Arrival rate - Homes for Ukraine (lower bound),Arrival rate - Family Scheme (lower bound),Arrival rate - Super Sponsor (lower bound),Weekly arrivals - Homes for Ukraine,Weekly arrivals - Family Scheme,Weekly arrivals - Super Sponsor,Weekly arrivals - Homes for Ukraine (upper bound),Weekly arrivals - Family Scheme (upper bound),Weekly arrivals - Super Sponsor (upper bound),Weekly arrivals - Homes for Ukraine (lower bound),Weekly arrivals - Family Scheme (lower bound),Weekly arrivals - Super Sponsor (lower bound),Weekly arrivals,Weekly arrivals (upper bound),Weekly arrivals (lower bound),Total arrivals,Total arrivals (upper bound),Total arrivals (lower bound)
2023-06-05,75,23671,25303,5736,24669,19873,14763,25262,20016,14882,24076,19731,14643,0,0,0.029248599340868587,0.01314706354545295,0.01314706354545295,0.05567031660706484,0.02153824567796319,0.02153824567796319,0.002826882074672337,0.0047558814129427095,0.0047558814129427095,656,224,187,1249,366,307,63,81,68,1067,1922,212,176967,177822,176112
2023-06-12,76,21089,22543,5110,26529,22383,15204,27776,22690,15444,25252,22076,14960,0,0,0.029248599340868587,0.012554773264791387,0.012554773264791387,0.05567031660706484,0.02074490759837679,0.02074490759837679,0.002826882074672337,0.004364638931205984,0.004364638931205984,722,250,185,1406,415,309,68,86,64,1157,2130,218,178124,179952,176330
2023-06-19,77,18789,20084,4553,28053,24574,15579,30005,25061,15942,26006,24082,15209,0,0,0.029248599340868587,0.011962482984129823,0.011962482984129823,0.05567031660706484,0.019951569518790388,0.019951569518790388,0.002826882074672337,0.003973396449469259,0.003973396449469259,776,268,182,1546,453,308,71,88,59,1226,2307,218,179350,182259,176548
2023-06-26,78,16740,17894,4056,29281,26485,15899,31980,27165,16385,26385,25792,15401,0,0,0.029248599340868587,0.01137019270346826,0.01137019270346826,0.05567031660706484,0.019158231439203987,0.019158231439203987,0.002826882074672337,0.003582153967732535,0.003582153967732535,821,279,177,1670,480,305,74,86,54,1277,2455,214,180627,184714,176762
2023-07-03,79,14914,15942,3614,30251,28152,16170,33731,29035,16778,26431,27245,15542,0,0,0.029248599340868587,0.010777902422806697,0.010777902422806697,0.05567031660706484,0.018364893359617582,0.018364893359617582,0.002826882074672337,0.0031909114859958107,0.0031909114859958107,856,285,171,1780,499,301,75,82,49,1312,2580,206,181939,187294,176968
2023-07-10,80,13287,14203,3220,30993,29604,16399,35283,30698,17128,26180,28474,15641,0,0,0.029248599340868587,0.010185612142145133,0.010185612142145133,0.05567031660706484,0.01757155528003118,0.01757155528003118,0.002826882074672337,0.0027996690042590856,0.0027996690042590856,885,287,165,1878,510,295,75,76,44,1337,2683,195,183276,189977,177163
2023-07-17,81,11838,12654,2869,31535,30869,16593,36658,32178,17441,25665,29508,15705,0,0,0.029248599340868587,0.00959332186148357,0.00959332186148357,0.05567031660706484,0.016778217200444777,0.016778217200444777,0.002826882074672337,0.002408426522522362,0.002408426522522362,907,284,157,1964,515,287,74,69,38,1348,2766,181,184624,192743,177344
2023-07-24,82,10547,11274,2556,31904,31971,16757,37876,33498,17722,24915,30374,15739,0,0,0.029248599340868587,0.009001031580822006,0.009001031580822006,0.05567031660706484,0.015984879120858376,0.015984879120858376,0.002826882074672337,0.002017184040785637,0.002017184040785637,922,278,149,2041,514,279,73,60,32,1349,2834,165,185973,195577,177509
2023-07-31,83,9397,10044,2277,32121,32932,16895,38956,34679,17975,23956,31095,15749,0,0,0.029248599340868587,0.008408741300160442,0.008408741300160442,0.05567031660706484,0.015191541041271971,0.015191541041271971,0.002826882074672337,0.0016259415590489127,0.0016259415590489127,933,269,141,2109,509,269,70,49,26,1343,2887,145,187316,198464,177654
2023-08-07,84,8372,8949,2029,32207,33770,17011,39913,35736,18204,22812,31691,15738,0,0,0.029248599340868587,0.00781645101949888,0.00781645101949888,0.05567031660706484,0.014398202961685574,0.014398202961685574,0.002826882074672337,0.0012346990773121876,0.0012346990773121876,939,257,132,2169,499,259,68,38,19,1328,2927,125,188644,201391,177779
2023-08-14,85,7459,7973,1808,32178,34502,17109,40762,36685,18412,21503,32181,15711,0,0,0.029248599340868587,0.007224160738837316,0.007224160738837316,0.05567031660706484,0.01360486488209917,0.01360486488209917,0.002826882074672337,8.434565955754633e-4,8.434565955754633e-4,942,244,123,2222,486,248,64,27,13,1309,2956,104,189953,204347,177883
2023-08-21,86,6646,7103,1611,32050,35143,17193,41514,37540,18602,20047,32581,15672,0,0,0.029248599340868587,0.006631870458175752,0.006631870458175752,0.05567031660706484,0.012811526802512766,0.012811526802512766,0.002826882074672337,4.522141138387382e-4,4.522141138387382e-4,941,229,113,2269,470,236,61,15,7,1283,2975,83,191236,207322,177966
2023-08-28,87,5921,6328,1435,31838,35706,17265,42182,38313,18777,18461,32905,15624,0,0,0.029248599340868587,0.006039580177514189,0.006039580177514189,0.05567031660706484,0.012018188722926364,0.012018188722926364,0.002826882074672337,6.09716321020139e-5,6.09716321020139e-5,937,212,104,2311,451,224,57,2,1,1253,2986,60,192489,210308,178026
2023-09-04,88,5275,5638,1278,31553,36201,17328,42776,39003,18934,16759,33165,15570,0,0,0.029248599340868587,0.005447289896852626,0.005447289896852626,0.05567031660706484,0.011224850643339963,0.011224850643339963,0.002826882074672337,0,0,931,195,94,2348,430,211,52,0,0,1220,2989,52,193709,213297,178078
2023-09-11,89,4700,5023,1139,31205,36640,17383,43304,39618,19073,14953,33373,15511,0,0,0.029248599340868587,0.004854999616191062,0.004854999616191062,0.05567031660706484,0.01043151256375356,0.01043151256375356,0.002826882074672337,0,0,923,176,84,2381,407,198,47,0,0,1183,2986,47,194892,216283,178125
2023-09-18,90,4187,4475,1015,30805,37032,17433,43775,40166,19197,13055,33539,15451,0,0,0.029248599340868587,0.004262709335529499,0.004262709335529499,0.05567031660706484,0.009638174484167157,0.009638174484167157,0.002826882074672337,0,0,913,156,74,2411,382,184,42,0,0,1143,2977,42,196035,219260,178167
2023-09-25,91,3730,3987,904,30361,37384,17480,44195,40654,19308,11075,33672,15392,0,0,0.029248599340868587,0.0036704190548679356,0.0036704190548679356,0.05567031660706484,0.008844836404580756,0.008844836404580756,0.002826882074672337,0,0,901,136,64,2437,355,170,37,0,0,1101,2962,37,197136,222222,178204
2023-10-02,92,3323,3552,805,29880,37704,17525,44571,41089,19407,9022,33780,15336,0,0,0.029248599340868587,0.003078128774206372,0.003078128774206372,0.05567031660706484,0.008051498324994353,0.008051498324994353,0.002826882074672337,0,0,888,115,54,2460,327,155,31,0,0,1057,2942,31,198193,225164,178235
2023-10-09,93,2961,3165,717,29368,37997,17569,44907,41476,19495,6903,33869,15283,0,0,0.029248599340868587,0.002485838493544809,0.002485838493544809,0.05567031660706484,0.007258160245407952,0.007258160245407952,0.002826882074672337,0,0,874,94,44,2481,298,141,26,0,0,1012,2920,26,199205,228084,178261
2023-10-16,94,2638,2820,639,28832,38270,17614,45210,41821,19573,4726,33946,15235,0,0,0.029248599340868587,0.0018935482128832454,0.0018935482128832454,0.05567031660706484,0.0064648221658215495,0.0064648221658215495,0.002826882074672337,0,0,859,72,33,2500,268,126,20,0,0,964,2894,20,200169,230978,178281
2023-10-23,95,2350,2512,569,28277,38528,17661,45485,42129,19643,2497,34017,15194,0,0,0.029248599340868587,0.001301257932221682,0.001301257932221682,0.05567031660706484,0.005671484086235147,0.005671484086235147,0.002826882074672337,0,0,843,50,23,2517,237,111,13,0,0,916,2865,13,201085,233843,178294
2023-10-30,96,2094,2238,507,27706,38775,17710,45734,42403,19705,256,34085,15160,0,0,0.029248599340868587,7.089676515601186e-4,7.089676515601186e-4,0.05567031660706484,0.004878146006648746,0.004878146006648746,0.002826882074672337,0,0,827,27,13,2532,206,96,7,0,0,867,2834,7,201952,236677,178301
2023-11-06,97,1866,1994,452,27124,39014,17763,45961,42647,19760,228,34156,15135,0,0,0.029248599340868587,1.1667737089855518e-4,1.1667737089855518e-4,0.05567031660706484,0.004084807927062342,0.004084807927062342,0.002826882074672337,0,0,810,5,2,2546,173,80,1,0,0,817,2799,1,202769,239476,178302
2023-11-13,98,1662,1777,403,26535,39231,17812,46164,42864,19809,204,34233,15119,0,0,0.029248599340868587,0,0,0.05567031660706484,0.00329146984747594,0.00329146984747594,0.002826882074672337,0,0,793,0,0,2559,140,65,1,0,0,793,2764,1,203562,242240,178303
