Date,Week,Backlog of visa applications - Homes for Ukraine,Backlog of visa applications - Family Scheme,Backlog of visa applications - Super Sponsor,Backlog of visas issued - Homes for Ukraine,Backlog of visas issued - Family Scheme,Backlog of visas issued - Super Sponsor,Backlog of visas issued - Homes for Ukraine (upper bound),Backlog of visas issued - Family Scheme (upper bound),Backlog of visas issued - Super Sponsor (upper bound),Backlog of visas issued - Homes for Ukraine (lower bound),Backlog of visas issued - Family Scheme (lower bound),Backlog of visas issued - Super Sponsor (lower bound),Weekly applications - Homes for Ukraine,Weekly applications - Family Scheme,Arrival rate - Homes for Ukraine,Arrival rate - Family Scheme,Arrival rate - Super Sponsor,Arrival rate - Homes for Ukraine (upper bound),Arrival rate - Family Scheme (upper bound),Arrival rate - Super Sponsor (upper bound),Arrival rate - Homes for Ukraine (lower bound),Arrival rate - Family Scheme (lower bound),Arrival rate - Super Sponsor (lower bound),Weekly arrivals - Homes for Ukraine,Weekly arrivals - Family Scheme,Weekly arrivals - Super Sponsor,Weekly arrivals - Homes for Ukraine (upper bound),Weekly arrivals - Family Scheme (upper bound),Weekly arrivals - Super Sponsor (upper bound),Weekly arrivals - Homes for Ukraine (lower bound),Weekly arrivals - Family Scheme (lower bound),Weekly arrivals - Super Sponsor (lower bound),Weekly arrivals,Weekly arrivals (upper bound),Weekly arrivals (lower bound),Total arrivals,Total arrivals (upper bound),Total arrivals (lower bound)
2024-01-08,106,29045,31472,5722,26499,19035,13813,26826,19128,13894,26171,18921,13716,0,0,0.01875748063233082,0.0061038122501570514,0.0061038122501570514,0.03275031217244112,0.013502573319134188,0.013502573319134188,0.004764649092220517,0,0,439,93,81,767,207,178,112,0,0,613,1152,112,197715,198254,197214
2024-01-15,107,25895,28059,5101,29157,22336,14352,29854,22541,14515,28450,22081,14153,0,0,0.01856215897028688,0.00590350496316417,0.00590350496316417,0.032466905441034546,0.013240347968343589,0.013240347968343589,0.004657412499539217,0,0,492,112,82,871,253,184,122,0,0,686,1308,122,198401,199562,197336
2024-01-22,108,23087,25016,4548,31429,25252,14823,32533,25584,15068,30297,24831,14518,0,0,0.018366837308242942,0.005703197676171293,0.005703197676171293,0.03218349870962797,0.012978122617552993,0.012978122617552993,0.0045501759068579135,0,0,536,127,82,961,293,188,129,0,0,745,1442,129,199146,201004,197465
2024-01-29,109,20583,22303,4055,33362,27826,15234,34902,28297,15561,31763,27219,14819,0,0,0.018171515646199,0.005502890389178408,0.005502890389178408,0.03190009197822139,0.012715897266762389,0.012715897266762389,0.00444293931417661,0,0,571,139,82,1038,325,192,135,0,0,792,1555,135,199938,202559,197600
2024-02-05,110,18351,19884,3615,34994,30097,15593,36996,30716,16001,32892,29286,15065,0,0,0.017976193984155057,0.0053025831021855305,0.0053025831021855305,0.03161668524681481,0.012453671915971791,0.012453671915971791,0.0043357027214953065,0,0,600,148,81,1103,352,194,138,0,0,829,1649,138,200767,204208,197738
2024-02-12,111,16361,17728,3223,36362,32099,15905,38847,32872,16393,33723,31068,15262,0,0,0.01778087232211112,0.005102275815192649,0.005102275815192649,0.03133327851540823,0.012191446565181193,0.012191446565181193,0.0042284661288140065,0,0,622,154,80,1159,374,195,139,0,0,856,1728,139,201623,205936,197877
2024-02-19,112,14587,15805,2873,37497,33865,16177,40482,34795,16743,34291,32599,15416,0,0,0.01758555066006718,0.004901968528199765,0.004901968528199765,0.031049871784001655,0.011929221214390587,0.011929221214390587,0.004121229536132703,0,0,639,157,78,1206,392,196,139,0,0,874,1794,139,202497,207730,198016
2024-02-26,113,13005,14091,2561,38427,35420,16413,41926,36509,17055,34628,33907,15533,0,0,0.01739022899802324,0.004701661241206887,0.004701661241206887,0.03076646505259508,0.011666995863599993,0.011666995863599993,0.004013992943451401,0,0,652,159,76,1245,406,195,138,0,0,887,1846,138,203384,209576,198154
2024-03-04,114,11595,12563,2283,39176,36789,16617,43201,38037,17333,34760,35019,15616,0,0,0.0171949073359793,0.004501353954214006,0.004501353954214006,0.0304830583211885,0.01140477051280939,0.01140477051280939,0.003906756350770098,0,0,661,159,74,1278,416,195,135,0,0,894,1889,135,204278,211465,198289
2024-03-11,115,10338,11201,2035,39767,37993,16794,44326,39399,17581,34712,35957,15671,0,0,0.01699958567393536,0.004301046667221128,0.004301046667221128,0.030199651589781922,0.011142545162018796,0.011142545162018796,0.003799519758088798,0,0,666,158,71,1305,424,193,132,0,0,895,1922,132,205173,213387,198421
