Date,Week,Backlog of visa applications - Homes for Ukraine,Backlog of visa applications - Family Scheme,Backlog of visa applications - Super Sponsor,Backlog of visas issued - Homes for Ukraine,Backlog of visas issued - Family Scheme,Backlog of visas issued - Super Sponsor,Backlog of visas issued - Homes for Ukraine (upper bound),Backlog of visas issued - Family Scheme (upper bound),Backlog of visas issued - Super Sponsor (upper bound),Backlog of visas issued - Homes for Ukraine (lower bound),Backlog of visas issued - Family Scheme (lower bound),Backlog of visas issued - Super Sponsor (lower bound),Weekly applications - Homes for Ukraine,Weekly applications - Family Scheme,Arrival rate - Homes for Ukraine,Arrival rate - Family Scheme,Arrival rate - Super Sponsor,Arrival rate - Homes for Ukraine (upper bound),Arrival rate - Family Scheme (upper bound),Arrival rate - Super Sponsor (upper bound),Arrival rate - Homes for Ukraine (lower bound),Arrival rate - Family Scheme (lower bound),Arrival rate - Super Sponsor (lower bound),Weekly arrivals - Homes for Ukraine,Weekly arrivals - Family Scheme,Weekly arrivals - Super Sponsor,Weekly arrivals - Homes for Ukraine (upper bound),Weekly arrivals - Family Scheme (upper bound),Weekly arrivals - Super Sponsor (upper bound),Weekly arrivals - Homes for Ukraine (lower bound),Weekly arrivals - Family Scheme (lower bound),Weekly arrivals - Super Sponsor (lower bound),Weekly arrivals,Weekly arrivals (upper bound),Weekly arrivals (lower bound),Total arrivals,Total arrivals (upper bound),Total arrivals (lower bound)
2023-01-23,56,19145,16635,6164,23791,20669,15489,24134,20976,15732,23019,20362,15246,881,809,0.015875182452630275,0.031661881764101014,0.031661881764101014,0.05157608080341307,0.047725980868003344,0.047725980868003344,0,0.015597782660198685,0.015597782660198685,343,605,479,1115,912,722,0,298,236,1427,2749,534,158384,159706,157491
2023-01-30,57,17668,15424,5420,25785,22024,15743,26446,22667,16238,24155,21370,15239,835,798,0.013380162766331374,0.031661881764101014,0.031661881764101014,0.048712986586968904,0.047725980868003344,0.047725980868003344,0,0.015597782660198685,0.015597782660198685,318,654,490,1176,1001,751,0,318,238,1462,2928,556,159846,162634,158047
2023-02-06,58,16323,14347,4765,27638,23190,15900,28580,24197,16655,25076,22151,15119,789,786,0.010885143080032474,0.031661881764101014,0.031661881764101014,0.04584989237052474,0.047725980868003344,0.047725980868003344,0,0.015597782660198685,0.015597782660198685,281,697,498,1213,1082,775,0,333,238,1476,3070,571,161322,165704,158618
2023-02-13,59,15095,13389,4190,29377,24189,15972,30551,25584,16994,25818,22729,14899,743,775,0.008390123393733573,0.031661881764101014,0.031661881764101014,0.042986798154080574,0.047725980868003344,0.047725980868003344,0,0.015597782660198685,0.015597782660198685,232,734,503,1229,1155,795,0,346,236,1469,3179,582,162791,168883,159200
2023-02-20,60,13969,12535,3684,31027,25040,15972,32374,26846,17268,26415,23125,14594,697,763,0.005895103707434665,0.031661881764101014,0.031661881764101014,0.0401237039376364,0.047725980868003344,0.047725980868003344,0,0.015597782660198685,0.015597782660198685,173,766,506,1226,1221,811,0,355,232,1445,3258,587,164236,172141,159787
2023-02-27,61,12933,11773,3239,32609,25761,15911,34061,27999,17485,26896,23358,14215,651,752,0.0034000840211357714,0.031661881764101014,0.031661881764101014,0.037260609721192245,0.047725980868003344,0.047725980868003344,0,0.015597782660198685,0.015597782660198685,105,793,506,1206,1281,824,0,361,228,1404,3311,589,165640,175452,160376
2023-03-06,62,11976,11091,2848,34141,26367,15798,35623,29057,17654,27286,23444,13772,605,740,9.050643348368775e-4,0.031661881764101014,0.031661881764101014,0.03439751550474809,0.047725980868003344,0.047725980868003344,0,0.015597782660198685,0.015597782660198685,30,816,504,1172,1336,834,0,364,222,1350,3342,586,166990,178794,160962
2023-03-13,63,11089,10481,2504,35587,26871,15642,37069,30030,17783,27609,23396,13273,559,729,0,0.031661881764101014,0.031661881764101014,0.031534421288303915,0.047725980868003344,0.047725980868003344,0,0.015597782660198685,0.015597782660198685,0,835,500,1123,1387,843,0,366,215,1335,3353,581,168325,182147,161543
2023-03-20,64,10263,9933,2202,36926,27286,15449,38408,30931,17878,27885,23229,12726,513,718,0,0.031661881764101014,0.031661881764101014,0.028671327071859744,0.047725980868003344,0.047725980868003344,0,0.015597782660198685,0.015597782660198685,0,851,495,1063,1433,849,0,365,207,1346,3345,572,169671,185492,162115
2023-03-27,65,9491,9439,1936,38165,27622,15226,39647,31769,17946,28133,22953,12139,467,706,0,0.031661881764101014,0.031661881764101014,0.025808232855415586,0.047725980868003344,0.047725980868003344,0,0.015597782660198685,0.015597782660198685,0,864,489,991,1476,853,0,362,198,1353,3320,560,171024,188812,162675
2023-04-03,66,8766,8994,1702,39311,27887,14978,40793,32551,17991,28369,22577,11517,421,695,0,0.031661881764101014,0.031661881764101014,0.022945138638971428,0.047725980868003344,0.047725980868003344,0,0.015597782660198685,0.015597782660198685,0,875,482,910,1516,856,0,358,189,1357,3282,547,172381,192094,163222
2023-04-10,67,8082,8591,1496,40370,28090,14710,41852,33285,18017,28609,22109,10864,375,683,0,0.031661881764101014,0.031661881764101014,0.020082044422527263,0.047725980868003344,0.047725980868003344,0,0.015597782660198685,0.015597782660198685,0,883,474,819,1554,859,0,352,180,1357,3232,532,173738,195326,163754
2023-04-17,68,7435,8226,1315,41346,28238,14425,42828,33977,18029,28864,21557,10185,329,672,0,0.031661881764101014,0.031661881764101014,0.017218950206083085,0.047725980868003344,0.047725980868003344,0,0.015597782660198685,0.015597782660198685,0,889,466,721,1589,860,0,345,169,1355,3170,514,175093,198496,164268
2023-04-24,69,6820,7893,1156,42244,28337,14127,43726,34634,18029,29147,20928,9484,283,660,0,0.031661881764101014,0.031661881764101014,0.01435585598963893,0.047725980868003344,0.047725980868003344,0,0.015597782660198685,0.015597782660198685,0,894,457,615,1622,860,0,336,159,1351,3097,495,176444,201593,164763
2023-05-01,70,6233,7589,1016,43068,28393,13820,44550,35261,18021,29468,20228,8764,237,649,0,0.031661881764101014,0.031661881764101014,0.011492761773194773,0.047725980868003344,0.047725980868003344,0,0.015597782660198685,0.015597782660198685,0,897,447,503,1653,860,0,326,148,1344,3016,474,177788,204609,165237
2023-05-08,71,5671,7311,893,43821,28410,13505,45303,35861,18007,29837,19461,8027,191,638,0,0.031661881764101014,0.031661881764101014,0.008629667556750598,0.047725980868003344,0.047725980868003344,0,0.015597782660198685,0.015597782660198685,0,899,438,384,1683,860,0,316,137,1337,2927,453,179125,207536,165690
2023-05-15,72,5131,7054,785,44506,28393,13185,45988,36440,17990,30261,18632,7276,145,626,0,0.031661881764101014,0.031661881764101014,0.005766573340306429,0.047725980868003344,0.047725980868003344,0,0.015597782660198685,0.015597782660198685,0,900,428,261,1712,859,0,304,125,1328,2832,429,180453,210368,166119
2023-05-22,73,4610,6817,690,45126,28346,12863,46608,37001,17972,30747,17745,6512,99,615,0,0.031661881764101014,0.031661881764101014,0.002903479123862268,0.047725980868003344,0.047725980868003344,0,0.015597782660198685,0.015597782660198685,0,899,417,134,1739,859,0,291,113,1316,2732,404,181769,213100,166523
2023-05-29,74,4106,6597,607,45683,28272,12539,47165,37547,17953,31302,16802,5737,53,603,0,0.031661881764101014,0.031661881764101014,4.038490741811382e-5,0.047725980868003344,0.047725980868003344,0,0.015597782660198685,0.015597782660198685,0,897,407,2,1766,858,0,277,102,1304,2626,379,183073,215726,166902
