Date,Week,Backlog of visa applications - Homes for Ukraine,Backlog of visa applications - Family Scheme,Backlog of visa applications - Super Sponsor,Backlog of visas issued - Homes for Ukraine,Backlog of visas issued - Family Scheme,Backlog of visas issued - Super Sponsor,Backlog of visas issued - Homes for Ukraine (upper bound),Backlog of visas issued - Family Scheme (upper bound),Backlog of visas issued - Super Sponsor (upper bound),Backlog of visas issued - Homes for Ukraine (lower bound),Backlog of visas issued - Family Scheme (lower bound),Backlog of visas issued - Super Sponsor (lower bound),Weekly applications - Homes for Ukraine,Weekly applications - Family Scheme,Arrival rate - Homes for Ukraine,Arrival rate - Family Scheme,Arrival rate - Super Sponsor,Arrival rate - Homes for Ukraine (upper bound),Arrival rate - Family Scheme (upper bound),Arrival rate - Super Sponsor (upper bound),Arrival rate - Homes for Ukraine (lower bound),Arrival rate - Family Scheme (lower bound),Arrival rate - Super Sponsor (lower bound),Weekly arrivals - Homes for Ukraine,Weekly arrivals - Family Scheme,Weekly arrivals - Super Sponsor,Weekly arrivals - Homes for Ukraine (upper bound),Weekly arrivals - Family Scheme (upper bound),Weekly arrivals - Super Sponsor (upper bound),Weekly arrivals - Homes for Ukraine (lower bound),Weekly arrivals - Family Scheme (lower bound),Weekly arrivals - Super Sponsor (lower bound),Weekly arrivals,Weekly arrivals (upper bound),Weekly arrivals (lower bound),Total arrivals,Total arrivals (upper bound),Total arrivals (lower bound)
2023-07-24,82,29737,27701,5137,24895,20935,14174,25795,21209,14418,23981,20659,13927,6740,2901,0.11404787732580779,0.07380244293967127,0.06823991646564306,0.12765384106994201,0.08040001533266979,0.07643505026555346,0.10044191358167355,0.06720487054667275,0.060044782665732675,2852,1433,993,3257,1572,1122,2461,1296,867,5278,5951,4624,186849,188286,185431
2023-07-31,83,28543,27075,4590,25220,22337,13754,26550,22768,14129,23852,21901,13372,1970,2321,0.11404787732580779,0.07380244293967127,0.06823991646564306,0.12765384106994201,0.08040001533266979,0.07643505026555346,0.10044191358167355,0.06720487054667275,0.060044782665732675,2839,1545,967,3293,1705,1102,2409,1388,836,5351,6100,4633,192200,194386,190064
2023-08-07,84,27369,25935,4102,25381,23569,13303,27191,24177,13814,23500,22951,12780,1863,1741,0.11404787732580779,0.07380244293967127,0.06823991646564306,0.12765384106994201,0.08040001533266979,0.07643505026555346,0.10044191358167355,0.06720487054667275,0.060044782665732675,2876,1649,939,3389,1831,1080,2396,1472,803,5464,6300,4671,197664,200686,194735
2023-08-14,85,26505,24585,3666,25398,24589,12831,27743,25394,13483,22941,23766,12160,2048,1409,0.11404787732580779,0.07380244293967127,0.06823991646564306,0.12765384106994201,0.08040001533266979,0.07643505026555346,0.10044191358167355,0.06720487054667275,0.060044782665732675,2895,1739,908,3471,1944,1056,2360,1542,767,5542,6471,4669,203206,207157,199404
2023-08-21,86,25108,23047,3276,25321,25390,12345,28259,26413,13143,22219,24340,11519,1423,1078,0.11404787732580779,0.07380244293967127,0.06823991646564306,0.12765384106994201,0.08040001533266979,0.07643505026555346,0.10044191358167355,0.06720487054667275,0.060044782665732675,2897,1815,876,3542,2042,1031,2304,1597,730,5588,6615,4631,208794,213772,204035
2023-08-28,87,23827,21673,2927,25104,25968,11852,28698,27229,12800,21283,24668,10863,1390,1078,0.11404787732580779,0.07380244293967127,0.06823991646564306,0.12765384106994201,0.08040001533266979,0.07643505026555346,0.10044191358167355,0.06720487054667275,0.060044782665732675,2888,1874,842,3607,2124,1005,2232,1636,692,5604,6736,4560,214398,220508,208595
