Region,Date,Week,Weekly arrivals,Weekly arrivals (upper bound),Weekly arrivals (lower bound),Total arrivals,Total arrivals (upper bound),Total arrivals (lower bound)
North,2022-09-26,39,160,263,57,12014,12117,11911
North,2022-10-03,40,141,261,29,12155,12378,11940
North,2022-10-10,41,123,260,2,12278,12638,11942
North,2022-10-17,42,104,259,0,12382,12897,11942
North,2022-10-24,43,85,257,0,12467,13154,11942
North,2022-10-31,44,66,252,0,12533,13406,11942
North,2022-11-07,45,46,246,0,12579,13652,11942
North,2022-11-14,46,26,238,0,12605,13890,11942
North,2022-11-21,47,5,229,0,12610,14119,11942
North,2022-11-28,48,0,218,0,12610,14337,11942
North,2022-12-05,49,0,207,0,12610,14544,11942
North,2022-12-12,50,0,195,0,12610,14739,11942
North,2022-12-19,51,0,183,0,12610,14922,11942
North,2022-12-26,52,0,169,0,12610,15091,11942
North,2023-01-02,53,0,156,0,12610,15247,11942
North,2023-01-09,54,0,142,0,12610,15389,11942
North,2023-01-16,55,0,128,0,12610,15517,11942
North,2023-01-23,56,0,113,0,12610,15630,11942
North,2023-01-30,57,0,98,0,12610,15728,11942
North,2023-02-06,58,0,83,0,12610,15811,11942
North,2023-02-13,59,0,68,0,12610,15879,11942
North,2023-02-20,60,0,53,0,12610,15932,11942
North,2023-02-27,61,0,37,0,12610,15969,11942
North,2023-03-06,62,0,22,0,12610,15991,11942
Central,2022-09-26,39,192,306,79,17275,17389,17162
Central,2022-10-03,40,161,292,37,17436,17681,17199
Central,2022-10-10,41,130,278,0,17566,17959,17199
Central,2022-10-17,42,99,264,0,17665,18223,17199
Central,2022-10-24,43,67,247,0,17732,18470,17199
Central,2022-10-31,44,33,227,0,17765,18697,17199
Central,2022-11-07,45,0,205,0,17765,18902,17199
Central,2022-11-14,46,0,181,0,17765,19083,17199
Central,2022-11-21,47,0,156,0,17765,19239,17199
Central,2022-11-28,48,0,128,0,17765,19367,17199
Central,2022-12-05,49,0,100,0,17765,19467,17199
Central,2022-12-12,50,0,71,0,17765,19538,17199
Central,2022-12-19,51,0,40,0,17765,19578,17199
Central,2022-12-26,52,0,10,0,17765,19588,17199
Central,2023-01-02,53,0,0,0,17765,19588,17199
Central,2023-01-09,54,0,0,0,17765,19588,17199
Central,2023-01-16,55,0,0,0,17765,19588,17199
Central,2023-01-23,56,0,0,0,17765,19588,17199
Central,2023-01-30,57,0,0,0,17765,19588,17199
Central,2023-02-06,58,0,0,0,17765,19588,17199
Central,2023-02-13,59,0,0,0,17765,19588,17199
Central,2023-02-20,60,0,0,0,17765,19588,17199
Central,2023-02-27,61,0,0,0,17765,19588,17199
Central,2023-03-06,62,0,0,0,17765,19588,17199
South and the Channel Islands,2022-09-26,39,187,321,54,18138,18272,18005
South and the Channel Islands,2022-10-03,40,157,311,12,18295,18583,18017
South and the Channel Islands,2022-10-10,41,127,302,0,18422,18885,18017
South and the Channel Islands,2022-10-17,42,96,291,0,18518,19176,18017
South and the Channel Islands,2022-10-24,43,65,277,0,18583,19453,18017
South and the Channel Islands,2022-10-31,44,33,260,0,18616,19713,18017
South and the Channel Islands,2022-11-07,45,0,242,0,18616,19955,18017
South and the Channel Islands,2022-11-14,46,0,222,0,18616,20177,18017
South and the Channel Islands,2022-11-21,47,0,200,0,18616,20377,18017
South and the Channel Islands,2022-11-28,48,0,178,0,18616,20555,18017
South and the Channel Islands,2022-12-05,49,0,154,0,18616,20709,18017
South and the Channel Islands,2022-12-12,50,0,130,0,18616,20839,18017
South and the Channel Islands,2022-12-19,51,0,104,0,18616,20943,18017
South and the Channel Islands,2022-12-26,52,0,79,0,18616,21022,18017
South and the Channel Islands,2023-01-02,53,0,52,0,18616,21074,18017
South and the Channel Islands,2023-01-09,54,0,26,0,18616,21100,18017
South and the Channel Islands,2023-01-16,55,0,0,0,18616,21100,18017
South and the Channel Islands,2023-01-23,56,0,0,0,18616,21100,18017
South and the Channel Islands,2023-01-30,57,0,0,0,18616,21100,18017
South and the Channel Islands,2023-02-06,58,0,0,0,18616,21100,18017
South and the Channel Islands,2023-02-13,59,0,0,0,18616,21100,18017
South and the Channel Islands,2023-02-20,60,0,0,0,18616,21100,18017
South and the Channel Islands,2023-02-27,61,0,0,0,18616,21100,18017
South and the Channel Islands,2023-03-06,62,0,0,0,18616,21100,18017
South East,2022-09-26,39,163,257,69,16747,16841,16653
South East,2022-10-03,40,137,245,35,16884,17086,16688
South East,2022-10-10,41,111,232,1,16995,17318,16689
South East,2022-10-17,42,85,220,0,17080,17538,16689
South East,2022-10-24,43,58,205,0,17138,17743,16689
South East,2022-10-31,44,31,188,0,17169,17931,16689
South East,2022-11-07,45,3,169,0,17172,18100,16689
South East,2022-11-14,46,0,149,0,17172,18249,16689
South East,2022-11-21,47,0,129,0,17172,18378,16689
South East,2022-11-28,48,0,107,0,17172,18485,16689
South East,2022-12-05,49,0,84,0,17172,18569,16689
South East,2022-12-12,50,0,61,0,17172,18630,16689
South East,2022-12-19,51,0,38,0,17172,18668,16689
South East,2022-12-26,52,0,13,0,17172,18681,16689
South East,2023-01-02,53,0,0,0,17172,18681,16689
South East,2023-01-09,54,0,0,0,17172,18681,16689
South East,2023-01-16,55,0,0,0,17172,18681,16689
South East,2023-01-23,56,0,0,0,17172,18681,16689
South East,2023-01-30,57,0,0,0,17172,18681,16689
South East,2023-02-06,58,0,0,0,17172,18681,16689
South East,2023-02-13,59,0,0,0,17172,18681,16689
South East,2023-02-20,60,0,0,0,17172,18681,16689
South East,2023-02-27,61,0,0,0,17172,18681,16689
South East,2023-03-06,62,0,0,0,17172,18681,16689
London,2022-09-26,39,215,304,127,12543,12632,12455
London,2022-10-03,40,198,301,100,12741,12933,12555
London,2022-10-10,41,182,299,73,12923,13232,12628
London,2022-10-17,42,165,298,47,13088,13530,12675
London,2022-10-24,43,148,298,22,13236,13828,12697
London,2022-10-31,44,131,298,0,13367,14126,12697
London,2022-11-07,45,113,297,0,13480,14423,12697
London,2022-11-14,46,95,295,0,13575,14718,12697
London,2022-11-21,47,75,292,0,13650,15010,12697
London,2022-11-28,48,54,287,0,13704,15297,12697
London,2022-12-05,49,32,280,0,13736,15577,12697
London,2022-12-12,50,9,272,0,13745,15849,12697
London,2022-12-19,51,0,262,0,13745,16111,12697
London,2022-12-26,52,0,251,0,13745,16362,12697
London,2023-01-02,53,0,239,0,13745,16601,12697
London,2023-01-09,54,0,225,0,13745,16826,12697
London,2023-01-16,55,0,210,0,13745,17036,12697
London,2023-01-23,56,0,194,0,13745,17230,12697
London,2023-01-30,57,0,177,0,13745,17407,12697
London,2023-02-06,58,0,159,0,13745,17566,12697
London,2023-02-13,59,0,140,0,13745,17706,12697
London,2023-02-20,60,0,120,0,13745,17826,12697
London,2023-02-27,61,0,100,0,13745,17926,12697
