Date,Week,Backlog of visa applications - Homes for Ukraine,Backlog of visa applications - Family Scheme,Backlog of visa applications - Super Sponsor,Backlog of visas issued - Homes for Ukraine,Backlog of visas issued - Family Scheme,Backlog of visas issued - Super Sponsor,Backlog of visas issued - Homes for Ukraine (upper bound),Backlog of visas issued - Family Scheme (upper bound),Backlog of visas issued - Super Sponsor (upper bound),Backlog of visas issued - Homes for Ukraine (lower bound),Backlog of visas issued - Family Scheme (lower bound),Backlog of visas issued - Super Sponsor (lower bound),Weekly applications - Homes for Ukraine,Weekly applications - Family Scheme,Arrival rate - Homes for Ukraine,Arrival rate - Family Scheme,Arrival rate - Super Sponsor,Arrival rate - Homes for Ukraine (upper bound),Arrival rate - Family Scheme (upper bound),Arrival rate - Super Sponsor (upper bound),Arrival rate - Homes for Ukraine (lower bound),Arrival rate - Family Scheme (lower bound),Arrival rate - Super Sponsor (lower bound),Weekly arrivals - Homes for Ukraine,Weekly arrivals - Family Scheme,Weekly arrivals - Super Sponsor,Weekly arrivals - Homes for Ukraine (upper bound),Weekly arrivals - Family Scheme (upper bound),Weekly arrivals - Super Sponsor (upper bound),Weekly arrivals - Homes for Ukraine (lower bound),Weekly arrivals - Family Scheme (lower bound),Weekly arrivals - Super Sponsor (lower bound),Weekly arrivals,Weekly arrivals (upper bound),Weekly arrivals (lower bound),Total arrivals,Total arrivals (upper bound),Total arrivals (lower bound)
2022-12-12,50,17286,15643,7499,23904,19564,14781,24358,19830,14991,23106,19297,14572,0,0,0.02047434873148558,0.03260178607627402,0.03260178607627402,0.056408109139547455,0.04726094181521865,0.04726094181521865,0,0.017942630337329395,0.017942630337329395,454,593,467,1252,860,676,0,327,257,1514,2788,584,150675,151949,149745
2022-12-19,51,15364,13904,6665,25417,20665,15133,26280,21223,15564,23746,20099,14698,0,0,0.017126892494755287,0.03260178607627402,0.03260178607627402,0.0526442436828122,0.04726094181521865,0.04726094181521865,0,0.017942630337329395,0.017942630337329395,409,638,482,1282,937,708,0,346,261,1529,2927,607,152204,154876,150352
2022-12-26,52,13656,12358,5924,26775,21537,15381,27988,22408,16041,24169,20642,14703,0,0,0.01377943625802499,0.03260178607627402,0.03260178607627402,0.04888037822607696,0.04726094181521865,0.04726094181521865,0,0.017942630337329395,0.017942630337329395,350,674,493,1285,1003,736,0,361,264,1517,3024,625,153721,157900,150977
2023-01-02,53,12138,10984,5265,28014,22209,15539,29506,23412,16436,24424,20957,14604,0,0,0.010431980021294694,0.03260178607627402,0.03260178607627402,0.0451165127693417,0.04726094181521865,0.04726094181521865,0,0.017942630337329395,0.017942630337329395,279,702,501,1263,1059,758,0,370,264,1482,3080,634,155203,160980,151611
2023-01-09,54,10789,9763,4680,29165,22706,15617,30855,24257,16759,24553,21072,14412,0,0,0.007084523784564398,0.03260178607627402,0.03260178607627402,0.04135264731260643,0.04726094181521865,0.04726094181521865,0,0.017942630337329395,0.017942630337329395,198,724,507,1220,1106,777,0,376,262,1429,3103,638,156632,164083,152249
2023-01-16,55,9590,8678,4160,30255,23051,15628,32054,24964,17020,24592,21011,14140,0,0,0.003737067547834102,0.03260178607627402,0.03260178607627402,0.03758878185587119,0.04726094181521865,0.04726094181521865,0,0.017942630337329395,0.017942630337329395,109,740,509,1160,1146,792,0,378,259,1358,3098,637,157990,167181,152886
2023-01-23,56,8524,7713,3698,31309,23264,15580,33120,25552,17228,24574,20796,13798,0,0,3.896113111038061e-4,0.03260178607627402,0.03260178607627402,0.03382491639913593,0.04726094181521865,0.04726094181521865,0,0.017942630337329395,0.017942630337329395,12,752,510,1084,1180,804,0,377,254,1274,3068,631,159264,170249,153517
2023-01-30,57,7576,6856,3287,32257,23363,15483,34068,26036,17391,24526,20445,13395,0,0,0,0.03260178607627402,0.03260178607627402,0.030061050942400667,0.04726094181521865,0.04726094181521865,0,0.017942630337329395,0.017942630337329395,0,758,508,996,1208,814,0,373,248,1266,3018,621,160530,173267,154138
2023-02-06,58,6734,6094,2922,33099,23363,15343,34910,26431,17516,24472,19977,12938,0,0,0,0.03260178607627402,0.03260178607627402,0.02629718548566542,0.04726094181521865,0.04726094181521865,0,0.017942630337329395,0.017942630337329395,0,762,505,896,1230,822,0,367,240,1267,2948,607,161797,176215,154745
2023-02-13,59,5985,5417,2597,33848,23278,15168,35659,26750,17609,24434,19405,12435,0,0,0,0.03260178607627402,0.03260178607627402,0.022533320028930166,0.04726094181521865,0.04726094181521865,0,0.017942630337329395,0.017942630337329395,0,762,500,787,1249,828,0,358,232,1262,2864,590,163059,179079,155335
2023-02-20,60,5320,4815,2308,34513,23121,14962,36324,27004,17675,24430,18743,11892,0,0,0,0.03260178607627402,0.03260178607627402,0.018769454572194904,0.04726094181521865,0.04726094181521865,0,0.017942630337329395,0.017942630337329395,0,759,495,669,1264,832,0,348,223,1254,2765,571,164313,181844,155906
2023-02-27,61,4729,4280,2051,35104,22902,14731,36915,27203,17719,24476,18002,11314,0,0,0,0.03260178607627402,0.03260178607627402,0.015005589115459649,0.04726094181521865,0.04726094181521865,0,0.017942630337329395,0.017942630337329395,0,754,488,545,1276,835,0,336,213,1242,2656,549,165555,184500,156455
2023-03-06,62,4203,3804,1823,35630,22631,14479,37441,27356,17744,24587,17192,10705,0,0,0,0.03260178607627402,0.03260178607627402,0.011241723658724397,0.04726094181521865,0.04726094181521865,0,0.017942630337329395,0.017942630337329395,0,747,480,415,1286,837,0,323,203,1227,2538,526,166782,187038,156981
2023-03-13,63,3736,3381,1620,36097,22316,14210,37908,27471,17755,24774,16322,10069,0,0,0,0.03260178607627402,0.03260178607627402,0.007477858201989138,0.04726094181521865,0.04726094181521865,0,0.017942630337329395,0.017942630337329395,0,738,472,280,1293,839,0,308,192,1210,2412,500,167992,189450,157481
2023-03-20,64,3321,3005,1440,36512,21964,13927,38323,27554,17754,25048,15400,9410,0,0,0,0.03260178607627402,0.03260178607627402,0.0037139927452538857,0.04726094181521865,0.04726094181521865,0,0.017942630337329395,0.017942630337329395,0,728,463,141,1298,839,0,293,181,1191,2278,474,169183,191728,157955
2023-03-27,65,2952,2671,1280,36881,21582,13633,38692,27612,17745,25417,14432,8731,0,0,0,0.03260178607627402,0.03260178607627402,0,0.04726094181521865,0.04726094181521865,0,0.017942630337329395,0.017942630337329395,0,716,454,0,1302,839,0,276,169,1170,2141,445,170353,193869,158400
2023-04-03,66,2624,2374,1138,37209,21175,13331,39020,27650,17730,25745,13424,8034,0,0,0,0.03260178607627402,0.03260178607627402,0,0.04726094181521865,0.04726094181521865,0,0.017942630337329395,0.017942630337329395,0,704,444,0,1305,839,0,259,157,1148,2144,416,171501,196013,158816
2023-04-10,67,2332,2110,1011,37501,20749,13023,39312,27673,17713,26037,12381,7323,0,0,0,0.03260178607627402,0.03260178607627402,0,0.04726094181521865,0.04726094181521865,0,0.017942630337329395,0.017942630337329395,0,690,435,0,1307,838,0,241,144,1125,2145,385,172626,198158,159201
2023-04-17,68,2073,1875,899,37760,20308,12710,39571,27686,17694,26296,11308,6598,0,0,0,0.03260178607627402,0.03260178607627402,0,0.04726094181521865,0.04726094181521865,0,0.017942630337329395,0.017942630337329395,0,676,425,0,1308,837,0,222,131,1101,2145,353,173727,200303,159554
2023-04-24,69,1843,1667,799,37990,19854,12396,39801,27691,17676,26526,10208,5862,0,0,0,0.03260178607627402,0.03260178607627402,0,0.04726094181521865,0.04726094181521865,0,0.017942630337329395,0.017942630337329395,0,662,414,0,1308,836,0,203,118,1076,2144,321,174803,202447,159875
2023-05-01,70,1638,1482,710,38195,19392,12081,40006,27693,17660,26731,9084,5116,0,0,0,0.03260178607627402,0.03260178607627402,0,0.04726094181521865,0.04726094181521865,0,0.017942630337329395,0.017942630337329395,0,647,404,0,1309,835,0,183,105,1051,2144,288,175854,204591,160163
2023-05-08,71,1456,1317,631,38377,18925,11766,40188,27695,17647,26913,7940,4360,0,0,0,0.03260178607627402,0.03260178607627402,0,0.04726094181521865,0.04726094181521865,0,0.017942630337329395,0.017942630337329395,0,632,394,0,1309,835,0,163,92,1026,2144,255,176880,206735,160418
2023-05-15,72,1294,1171,561,38539,18454,11452,40350,27699,17639,27075,6777,3596,0,0,0,0.03260178607627402,0.03260178607627402,0,0.04726094181521865,0.04726094181521865,0,0.017942630337329395,0.017942630337329395,0,617,384,0,1309,834,0,142,78,1001,2143,220,177881,208878,160638
2023-05-22,73,1150,1041,499,38683,17982,11141,40494,27707,17636,27219,5598,2824,0,0,0,0.03260178607627402,0.03260178607627402,0,0.04726094181521865,0.04726094181521865,0,0.017942630337329395,0.017942630337329395,0,602,373,0,1309,834,0,122,65,975,2143,187,178856,211021,160825
