Date,Week,Backlog of visa applications - Homes for Ukraine,Backlog of visa applications - Family Scheme,Backlog of visa applications - Super Sponsor,Backlog of visas issued - Homes for Ukraine,Backlog of visas issued - Family Scheme,Backlog of visas issued - Super Sponsor,Backlog of visas issued - Homes for Ukraine (upper bound),Backlog of visas issued - Family Scheme (upper bound),Backlog of visas issued - Super Sponsor (upper bound),Backlog of visas issued - Homes for Ukraine (lower bound),Backlog of visas issued - Family Scheme (lower bound),Backlog of visas issued - Super Sponsor (lower bound),Weekly applications - Homes for Ukraine,Weekly applications - Family Scheme,Arrival rate - Homes for Ukraine,Arrival rate - Family Scheme,Arrival rate - Super Sponsor,Arrival rate - Homes for Ukraine (upper bound),Arrival rate - Family Scheme (upper bound),Arrival rate - Super Sponsor (upper bound),Arrival rate - Homes for Ukraine (lower bound),Arrival rate - Family Scheme (lower bound),Arrival rate - Super Sponsor (lower bound),Weekly arrivals - Homes for Ukraine,Weekly arrivals - Family Scheme,Weekly arrivals - Super Sponsor,Weekly arrivals - Homes for Ukraine (upper bound),Weekly arrivals - Family Scheme (upper bound),Weekly arrivals - Super Sponsor (upper bound),Weekly arrivals - Homes for Ukraine (lower bound),Weekly arrivals - Family Scheme (lower bound),Weekly arrivals - Super Sponsor (lower bound),Weekly arrivals,Weekly arrivals (upper bound),Weekly arrivals (lower bound),Total arrivals,Total arrivals (upper bound),Total arrivals (lower bound)
2023-06-26,78,28307,26367,5089,25101,21533,14378,26082,21783,14594,24104,21223,14111,6770,2933,0.11829906354030068,0.07542558657798568,0.07092694724373912,0.13215894364028916,0.08223808560897941,0.07923083568632928,0.10443918344031221,0.06861308754699194,0.06262305880114895,3007,1518,1049,3435,1664,1179,2595,1370,918,5574,6278,4883,183659,185233,182212
2023-07-03,79,27145,25788,4524,25273,22834,13923,26706,23252,14275,23798,22357,13520,1979,2346,0.11829906354030068,0.07542558657798568,0.07092694724373912,0.13215894364028916,0.08223808560897941,0.07923083568632928,0.10443918344031221,0.06861308754699194,0.06262305880114895,2969,1624,1020,3447,1791,1156,2517,1456,884,5613,6394,4857,189272,191627,187069
2023-07-10,80,26004,24687,4022,25295,23973,13437,27233,24579,13930,23281,23306,12891,1871,1760,0.11829906354030068,0.07542558657798568,0.07092694724373912,0.13215894364028916,0.08223808560897941,0.07923083568632928,0.10443918344031221,0.06861308754699194,0.06262305880114895,2990,1722,988,3529,1912,1131,2485,1534,847,5700,6572,4866,194972,198199,191935
2023-07-17,81,25176,23373,3576,25188,24904,12930,27687,25719,13569,22567,24024,12233,2057,1425,0.11829906354030068,0.07542558657798568,0.07092694724373912,0.13215894364028916,0.08223808560897941,0.07923083568632928,0.10443918344031221,0.06861308754699194,0.06262305880114895,2992,1808,953,3599,2021,1104,2431,1599,807,5753,6724,4837,200725,204923,196772
2023-07-24,82,23813,21869,3179,25001,25619,12410,28123,26664,13200,21701,24502,11555,1430,1089,0.11829906354030068,0.07542558657798568,0.07092694724373912,0.13215894364028916,0.08223808560897941,0.07923083568632928,0.10443918344031221,0.06861308754699194,0.06262305880114895,2980,1878,917,3659,2115,1075,2357,1648,766,5775,6849,4771,206500,211772,201543
2023-07-31,83,22568,20532,2826,24685,26113,11883,28499,27409,12829,20626,24735,10862,1397,1089,0.11829906354030068,0.07542558657798568,0.07092694724373912,0.13215894364028916,0.08223808560897941,0.07923083568632928,0.10443918344031221,0.06861308754699194,0.06262305880114895,2958,1932,880,3717,2193,1046,2266,1681,724,5770,6956,4671,212270,218728,206214
