Date,Week,Backlog of visa applications - Homes for Ukraine,Backlog of visa applications - Family Scheme,Backlog of visa applications - Super Sponsor,Backlog of visas issued - Homes for Ukraine,Backlog of visas issued - Family Scheme,Backlog of visas issued - Super Sponsor,Backlog of visas issued - Homes for Ukraine (upper bound),Backlog of visas issued - Family Scheme (upper bound),Backlog of visas issued - Super Sponsor (upper bound),Backlog of visas issued - Homes for Ukraine (lower bound),Backlog of visas issued - Family Scheme (lower bound),Backlog of visas issued - Super Sponsor (lower bound),Weekly applications - Homes for Ukraine,Weekly applications - Family Scheme,Arrival rate - Homes for Ukraine,Arrival rate - Family Scheme,Arrival rate - Super Sponsor,Arrival rate - Homes for Ukraine (upper bound),Arrival rate - Family Scheme (upper bound),Arrival rate - Super Sponsor (upper bound),Arrival rate - Homes for Ukraine (lower bound),Arrival rate - Family Scheme (lower bound),Arrival rate - Super Sponsor (lower bound),Weekly arrivals - Homes for Ukraine,Weekly arrivals - Family Scheme,Weekly arrivals - Super Sponsor,Weekly arrivals - Homes for Ukraine (upper bound),Weekly arrivals - Family Scheme (upper bound),Weekly arrivals - Super Sponsor (upper bound),Weekly arrivals - Homes for Ukraine (lower bound),Weekly arrivals - Family Scheme (lower bound),Weekly arrivals - Super Sponsor (lower bound),Weekly arrivals,Weekly arrivals (upper bound),Weekly arrivals (lower bound),Total arrivals,Total arrivals (upper bound),Total arrivals (lower bound)
2023-06-12,76,24727,26170,5737,24588,20143,14834,25166,20236,14911,24009,19990,14707,463,506,0.02898494417618328,0.005436487446041052,0.005436487446041052,0.05496199669132437,0.01436683609439838,0.01436683609439838,0.003007891661042185,0,0,645,93,77,1224,246,204,67,0,0,815,1674,67,177182,178041,176434
2023-06-19,77,22465,23814,5112,26568,22908,15397,27787,23086,15536,25319,22581,15141,431,494,0.02898494417618328,0.004203700071118047,0.004203700071118047,0.05496199669132437,0.012805123258642144,0.012805123258642144,0.003007891661042185,0,0,713,85,62,1383,259,191,72,0,0,860,1833,72,178042,179874,176506
2023-06-26,78,20418,21703,4555,28244,25433,15908,30157,25679,16093,26238,24914,15523,399,482,0.02898494417618328,0.0029709126961950418,0.0029709126961950418,0.05496199669132437,0.011243410422885907,0.011243410422885907,0.003007891661042185,0,0,770,68,46,1527,260,175,76,0,0,884,1962,76,178926,181836,176582
2023-07-03,79,18560,19810,4059,29649,27752,16376,32302,28042,16589,26805,27028,15863,366,470,0.02898494417618328,0.0017381253212720368,0.0017381253212720368,0.05496199669132437,0.009681697587129669,0.009681697587129669,0.003007891661042185,0,0,819,44,28,1657,249,156,79,0,0,891,2062,79,179817,183898,176661
2023-07-10,80,16873,18111,3617,30811,29895,16810,34242,30199,17031,27051,28957,16170,334,458,0.02898494417618328,5.053379463490319e-4,5.053379463490319e-4,0.05496199669132437,0.008119984751373432,0.008119984751373432,0.003007891661042185,0,0,859,14,8,1775,228,135,81,0,0,881,2138,81,180698,186036,176742
2023-07-17,81,15338,16585,3223,31755,31867,17204,35998,32171,17425,27006,30731,16452,302,446,0.02898494417618328,0,0,0.05496199669132437,0.006558271915617196,0.006558271915617196,0.003007891661042185,0,0,893,0,0,1882,198,112,81,0,0,893,2192,81,181591,188228,176823
2023-07-24,82,13937,15214,2872,32505,33673,17555,37587,33977,17776,26697,32376,16716,269,435,0.02898494417618328,0,0,0.05496199669132437,0.00499655907986096,0.00499655907986096,0.003007891661042185,0,0,920,0,0,1979,161,87,81,0,0,920,2227,81,182511,190455,176904
2023-07-31,83,12656,13980,2559,33081,35330,17868,39025,35634,18089,26149,33916,16968,237,423,0.02898494417618328,0,0,0.05496199669132437,0.0034348462441047226,0.0034348462441047226,0.003007891661042185,0,0,942,0,0,2066,117,61,80,0,0,942,2244,80,183453,192699,176984
2023-08-07,84,11482,12869,2280,33500,36852,18147,40324,37156,18368,25382,35371,17213,204,411,0.02898494417618328,0,0,0.05496199669132437,0.001873133408348486,0.001873133408348486,0.003007891661042185,0,0,959,0,0,2145,67,34,79,0,0,959,2246,79,184412,194945,177063
2023-08-14,85,10404,11867,2032,33779,38253,18395,41498,38557,18616,24416,36760,17455,172,399,0.02898494417618328,0,0,0.05496199669132437,3.1142057259224854e-4,3.1142057259224854e-4,0.003007891661042185,0,0,971,0,0,2216,12,6,76,0,0,971,2234,76,185383,197179,177139
