Region,Date,Week,Weekly arrivals,Weekly arrivals (upper bound),Weekly arrivals (lower bound),Total arrivals,Total arrivals (upper bound),Total arrivals (lower bound)
North,2023-03-13,63,24,167,0,14649,14792,14625
North,2023-03-20,64,16,178,0,14665,14970,14625
North,2023-03-27,65,7,188,0,14672,15158,14625
North,2023-04-03,66,0,195,0,14672,15353,14625
North,2023-04-10,67,0,201,0,14672,15554,14625
North,2023-04-17,68,0,205,0,14672,15759,14625
North,2023-04-24,69,0,208,0,14672,15967,14625
North,2023-05-01,70,0,210,0,14672,16177,14625
North,2023-05-08,71,0,211,0,14672,16388,14625
North,2023-05-15,72,0,211,0,14672,16599,14625
North,2023-05-22,73,0,209,0,14672,16808,14625
North,2023-05-29,74,0,208,0,14672,17016,14625
North,2023-06-05,75,0,205,0,14672,17221,14625
North,2023-06-12,76,0,202,0,14672,17423,14625
North,2023-06-19,77,0,198,0,14672,17621,14625
North,2023-06-26,78,0,194,0,14672,17815,14625
North,2023-07-03,79,0,190,0,14672,18005,14625
North,2023-07-10,80,0,185,0,14672,18190,14625
North,2023-07-17,81,0,180,0,14672,18370,14625
North,2023-07-24,82,0,174,0,14672,18544,14625
North,2023-07-31,83,0,168,0,14672,18712,14625
North,2023-08-07,84,0,162,0,14672,18874,14625
North,2023-08-14,85,0,156,0,14672,19030,14625
North,2023-08-21,86,0,149,0,14672,19179,14625
Central,2023-03-13,63,29,233,0,21128,21332,21099
Central,2023-03-20,64,17,247,0,21145,21579,21099
Central,2023-03-27,65,4,259,0,21149,21838,21099
Central,2023-04-03,66,0,268,0,21149,22106,21099
Central,2023-04-10,67,0,274,0,21149,22380,21099
Central,2023-04-17,68,0,279,0,21149,22659,21099
Central,2023-04-24,69,0,283,0,21149,22942,21099
Central,2023-05-01,70,0,284,0,21149,23226,21099
Central,2023-05-08,71,0,285,0,21149,23511,21099
Central,2023-05-15,72,0,284,0,21149,23795,21099
Central,2023-05-22,73,0,282,0,21149,24077,21099
Central,2023-05-29,74,0,279,0,21149,24356,21099
Central,2023-06-05,75,0,275,0,21149,24631,21099
Central,2023-06-12,76,0,270,0,21149,24901,21099
Central,2023-06-19,77,0,265,0,21149,25166,21099
Central,2023-06-26,78,0,259,0,21149,25425,21099
Central,2023-07-03,79,0,252,0,21149,25677,21099
Central,2023-07-10,80,0,245,0,21149,25922,21099
Central,2023-07-17,81,0,238,0,21149,26160,21099
Central,2023-07-24,82,0,230,0,21149,26390,21099
Central,2023-07-31,83,0,222,0,21149,26612,21099
Central,2023-08-07,84,0,213,0,21149,26825,21099
Central,2023-08-14,85,0,204,0,21149,27029,21099
Central,2023-08-21,86,0,195,0,21149,27224,21099
South and the Channel Islands,2023-03-13,63,0,196,0,21295,21491,21295
South and the Channel Islands,2023-03-20,64,0,204,0,21295,21695,21295
South and the Channel Islands,2023-03-27,65,0,210,0,21295,21905,21295
South and the Channel Islands,2023-04-03,66,0,214,0,21295,22119,21295
South and the Channel Islands,2023-04-10,67,0,217,0,21295,22336,21295
South and the Channel Islands,2023-04-17,68,0,218,0,21295,22554,21295
South and the Channel Islands,2023-04-24,69,0,218,0,21295,22772,21295
South and the Channel Islands,2023-05-01,70,0,216,0,21295,22988,21295
South and the Channel Islands,2023-05-08,71,0,214,0,21295,23202,21295
South and the Channel Islands,2023-05-15,72,0,210,0,21295,23412,21295
South and the Channel Islands,2023-05-22,73,0,206,0,21295,23618,21295
South and the Channel Islands,2023-05-29,74,0,201,0,21295,23819,21295
South and the Channel Islands,2023-06-05,75,0,195,0,21295,24014,21295
South and the Channel Islands,2023-06-12,76,0,189,0,21295,24203,21295
South and the Channel Islands,2023-06-19,77,0,182,0,21295,24385,21295
South and the Channel Islands,2023-06-26,78,0,174,0,21295,24559,21295
South and the Channel Islands,2023-07-03,79,0,167,0,21295,24726,21295
South and the Channel Islands,2023-07-10,80,0,158,0,21295,24884,21295
South and the Channel Islands,2023-07-17,81,0,150,0,21295,25034,21295
South and the Channel Islands,2023-07-24,82,0,141,0,21295,25175,21295
South and the Channel Islands,2023-07-31,83,0,132,0,21295,25307,21295
South and the Channel Islands,2023-08-07,84,0,122,0,21295,25429,21295
South and the Channel Islands,2023-08-14,85,0,113,0,21295,25542,21295
South and the Channel Islands,2023-08-21,86,0,103,0,21295,25645,21295
South East,2023-03-13,63,0,190,0,19560,19750,19560
South East,2023-03-20,64,0,199,0,19560,19949,19560
South East,2023-03-27,65,0,205,0,19560,20154,19560
South East,2023-04-03,66,0,210,0,19560,20364,19560
South East,2023-04-10,67,0,214,0,19560,20578,19560
South East,2023-04-17,68,0,216,0,19560,20794,19560
South East,2023-04-24,69,0,216,0,19560,21010,19560
South East,2023-05-01,70,0,216,0,19560,21226,19560
South East,2023-05-08,71,0,214,0,19560,21440,19560
South East,2023-05-15,72,0,212,0,19560,21652,19560
South East,2023-05-22,73,0,209,0,19560,21861,19560
South East,2023-05-29,74,0,204,0,19560,22065,19560
South East,2023-06-05,75,0,200,0,19560,22265,19560
South East,2023-06-12,76,0,194,0,19560,22459,19560
South East,2023-06-19,77,0,189,0,19560,22648,19560
South East,2023-06-26,78,0,182,0,19560,22830,19560
South East,2023-07-03,79,0,175,0,19560,23005,19560
South East,2023-07-10,80,0,168,0,19560,23173,19560
South East,2023-07-17,81,0,161,0,19560,23334,19560
South East,2023-07-24,82,0,153,0,19560,23487,19560
South East,2023-07-31,83,0,145,0,19560,23632,19560
South East,2023-08-07,84,0,137,0,19560,23769,19560
South East,2023-08-14,85,0,128,0,19560,23897,19560
South East,2023-08-21,86,0,120,0,19560,24017,19560
London,2023-03-13,63,81,278,0,16776,16973,16695
London,2023-03-20,64,78,305,0,16854,17278,16695
London,2023-03-27,65,73,328,0,16927,17606,16695
London,2023-04-03,66,65,349,0,16992,17955,16695
London,2023-04-10,67,56,368,0,17048,18323,16695
London,2023-04-17,68,46,384,0,17094,18707,16695
London,2023-04-24,69,34,398,0,17128,19105,16695
London,2023-05-01,70,21,410,0,17149,19515,16695
London,2023-05-08,71,7,421,0,17156,19936,16695
London,2023-05-15,72,0,429,0,17156,20365,16695
London,2023-05-22,73,0,437,0,17156,20802,16695
London,2023-05-29,74,0,443,0,17156,21245,16695
London,2023-06-05,75,0,447,0,17156,21692,16695
London,2023-06-12,76,0,451,0,17156,22143,16695
London,2023-06-19,77,0,454,0,17156,22597,16695
London,2023-06-26,78,0,456,0,17156,23053,16695
London,2023-07-03,79,0,457,0,17156,23510,16695
London,2023-07-10,80,0,457,0,17156,23967,16695
London,2023-07-17,81,0,457,0,17156,24424,16695
London,2023-07-24,82,0,456,0,17156,24880,16695
London,2023-07-31,83,0,454,0,17156,25334,16695
London,2023-08-07,84,0,452,0,17156,25786,16695
London,2023-08-14,85,0,450,0,17156,26236,16695
London,2023-08-21,86,0,447,0,17156,26683,16695
Northern Ireland and Isle of Man,2023-03-13,63,2,20,0,843,861,841
Northern Ireland and Isle of Man,2023-03-20,64,1,20,0,844,881,841
Northern Ireland and Isle of Man,2023-03-27,65,0,21,0,844,902,841
Northern Ireland and Isle of Man,2023-04-03,66,0,21,0,844,923,841
Northern Ireland and Isle of Man,2023-04-10,67,0,21,0,844,944,841
Northern Ireland and Isle of Man,2023-04-17,68,0,21,0,844,965,841
Northern Ireland and Isle of Man,2023-04-24,69,0,21,0,844,986,841
Northern Ireland and Isle of Man,2023-05-01,70,0,21,0,844,1007,841
Northern Ireland and Isle of Man,2023-05-08,71,0,21,0,844,1028,841
Northern Ireland and Isle of Man,2023-05-15,72,0,21,0,844,1049,841
Northern Ireland and Isle of Man,2023-05-22,73,0,21,0,844,1070,841
Northern Ireland and Isle of Man,2023-05-29,74,0,21,0,844,1091,841
Northern Ireland and Isle of Man,2023-06-05,75,0,21,0,844,1112,841
Northern Ireland and Isle of Man,2023-06-12,76,0,21,0,844,1133,841
Northern Ireland and Isle of Man,2023-06-19,77,0,21,0,844,1154,841
Northern Ireland and Isle of Man,2023-06-26,78,0,20,0,844,1174,841
Northern Ireland and Isle of Man,2023-07-03,79,0,20,0,844,1194,841
Northern Ireland and Isle of Man,2023-07-10,80,0,20,0,844,1214,841
Northern Ireland and Isle of Man,2023-07-17,81,0,20,0,844,1234,841
Northern Ireland and Isle of Man,2023-07-24,82,0,19,0,844,1253,841
Northern Ireland and Isle of Man,2023-07-31,83,0,19,0,844,1272,841
Northern Ireland and Isle of Man,2023-08-07,84,0,19,0,844,1291,841
Northern Ireland and Isle of Man,2023-08-14,85,0,18,0,844,1309,841
Northern Ireland and Isle of Man,2023-08-21,86,0,18,0,844,1327,841
Scotland,2023-03-13,63,11,59,0,4474,4522,4463
Scotland,2023-03-20,64,9,63,0,4483,4585,4463
Scotland,2023-03-27,65,7,66,0,4490,4651,4463
Scotland,2023-04-03,66,4,69,0,4494,4720,4463
Scotland,2023-04-10,67,1,71,0,4495,4791,4463
Scotland,2023-04-17,68,0,73,0,4495,4864,4463
Scotland,2023-04-24,69,0,75,0,4495,4939,4463
Scotland,2023-05-01,70,0,76,0,4495,5015,4463
Scotland,2023-05-08,71,0,77,0,4495,5092,4463
Scotland,2023-05-15,72,0,78,0,4495,5170,4463
Scotland,2023-05-22,73,0,78,0,4495,5248,4463
Scotland,2023-05-29,74,0,78,0,4495,5326,4463
Scotland,2023-06-05,75,0,78,0,4495,5404,4463
Scotland,2023-06-12,76,0,78,0,4495,5482,4463
Scotland,2023-06-19,77,0,78,0,4495,5560,4463
Scotland,2023-06-26,78,0,77,0,4495,5637,4463
Scotland,2023-07-03,79,0,76,0,4495,5713,4463
