Date,Week,Backlog of visa applications - Homes for Ukraine,Backlog of visa applications - Family Scheme,Backlog of visa applications - Super Sponsor,Backlog of visas issued - Homes for Ukraine,Backlog of visas issued - Family Scheme,Backlog of visas issued - Super Sponsor,Backlog of visas issued - Homes for Ukraine (upper bound),Backlog of visas issued - Family Scheme (upper bound),Backlog of visas issued - Super Sponsor (upper bound),Backlog of visas issued - Homes for Ukraine (lower bound),Backlog of visas issued - Family Scheme (lower bound),Backlog of visas issued - Super Sponsor (lower bound),Weekly applications - Homes for Ukraine,Weekly applications - Family Scheme,Arrival rate - Homes for Ukraine,Arrival rate - Family Scheme,Arrival rate - Super Sponsor,Arrival rate - Homes for Ukraine (upper bound),Arrival rate - Family Scheme (upper bound),Arrival rate - Super Sponsor (upper bound),Arrival rate - Homes for Ukraine (lower bound),Arrival rate - Family Scheme (lower bound),Arrival rate - Super Sponsor (lower bound),Weekly arrivals - Homes for Ukraine,Weekly arrivals - Family Scheme,Weekly arrivals - Super Sponsor,Weekly arrivals - Homes for Ukraine (upper bound),Weekly arrivals - Family Scheme (upper bound),Weekly arrivals - Super Sponsor (upper bound),Weekly arrivals - Homes for Ukraine (lower bound),Weekly arrivals - Family Scheme (lower bound),Weekly arrivals - Super Sponsor (lower bound),Weekly arrivals,Weekly arrivals (upper bound),Weekly arrivals (lower bound),Total arrivals,Total arrivals (upper bound),Total arrivals (lower bound)
2023-11-06,97,32562,30441,5161,25836,20783,13784,26669,20968,13955,24992,20550,13570,6638,2801,0.10154040140678924,0.06873617868881142,0.05944016702399102,0.11396636622033518,0.07466278142321153,0.06720325406173427,0.0891144365932433,0.0628095759544113,0.05167707998624777,2581,1298,833,2951,1415,946,2223,1179,719,4712,5312,4121,196540,197831,195351
2023-11-13,98,31124,29524,4626,26591,22512,13500,27820,22835,13789,25331,22142,13167,1940,2241,0.10154040140678924,0.06873617868881142,0.05944016702399102,0.11396636622033518,0.07466278142321153,0.06720325406173427,0.0891144365932433,0.0628095759544113,0.05167707998624777,2623,1429,819,3039,1566,938,2227,1291,701,4871,5543,4219,201411,203374,199570
2023-11-20,99,29730,28142,4146,27120,24028,13178,28792,24507,13589,25389,23500,12720,1835,1681,0.10154040140678924,0.06873617868881142,0.05944016702399102,0.11396636622033518,0.07466278142321153,0.06720325406173427,0.0891144365932433,0.0628095759544113,0.05167707998624777,2700,1547,802,3171,1705,927,2257,1391,680,5049,5803,4328,206460,209177,203898
2023-11-27,100,28663,26584,3716,27450,25295,12825,29613,25950,13362,25192,24589,12237,2017,1361,0.10154040140678924,0.06873617868881142,0.05944016702399102,0.11396636622033518,0.07466278142321153,0.06720325406173427,0.0891144365932433,0.0628095759544113,0.05167707998624777,2754,1652,783,3281,1830,913,2263,1476,657,5189,6024,4396,211649,215201,208294
2023-12-04,101,27092,24867,3331,27636,26314,12448,30341,27164,13115,24790,25410,11724,1402,1041,0.10154040140678924,0.06873617868881142,0.05944016702399102,0.11396636622033518,0.07466278142321153,0.06720325406173427,0.0891144365932433,0.0628095759544113,0.05167707998624777,2787,1739,762,3375,1937,898,2245,1544,632,5288,6210,4421,216937,221411,212715
2023-12-11,102,25651,23328,2985,27640,27085,12054,30942,28148,12855,24142,25962,11189,1369,1041,0.10154040140678924,0.06873617868881142,0.05944016702399102,0.11396636622033518,0.07466278142321153,0.06720325406173427,0.0891144365932433,0.0628095759544113,0.05167707998624777,2806,1809,740,3458,2028,881,2209,1596,606,5355,6367,4411,222292,227778,217126
