Region,Date,Week,Weekly arrivals,Weekly arrivals (upper bound),Weekly arrivals (lower bound),Total arrivals,Total arrivals (upper bound),Total arrivals (lower bound)
North,2022-10-03,40,172,272,72,12415,12515,12315
North,2022-10-10,41,157,274,48,12572,12789,12363
North,2022-10-17,42,143,277,26,12715,13066,12389
North,2022-10-24,43,128,280,5,12843,13346,12394
North,2022-10-31,44,114,283,0,12957,13629,12394
North,2022-11-07,45,99,285,0,13056,13914,12394
North,2022-11-14,46,84,285,0,13140,14199,12394
North,2022-11-21,47,69,284,0,13209,14483,12394
North,2022-11-28,48,54,281,0,13263,14764,12394
North,2022-12-05,49,39,277,0,13302,15041,12394
North,2022-12-12,50,24,272,0,13326,15313,12394
North,2022-12-19,51,8,267,0,13334,15580,12394
North,2022-12-26,52,0,261,0,13334,15841,12394
North,2023-01-02,53,0,254,0,13334,16095,12394
North,2023-01-09,54,0,247,0,13334,16342,12394
North,2023-01-16,55,0,239,0,13334,16581,12394
North,2023-01-23,56,0,231,0,13334,16812,12394
North,2023-01-30,57,0,222,0,13334,17034,12394
North,2023-02-06,58,0,213,0,13334,17247,12394
North,2023-02-13,59,0,204,0,13334,17451,12394
North,2023-02-20,60,0,195,0,13334,17646,12394
North,2023-02-27,61,0,186,0,13334,17832,12394
North,2023-03-06,62,0,176,0,13334,18008,12394
North,2023-03-13,63,0,167,0,13334,18175,12394
Central,2022-10-03,40,207,323,91,17794,17910,17678
Central,2022-10-10,41,182,316,55,17976,18226,17733
Central,2022-10-17,42,158,310,20,18134,18536,17753
Central,2022-10-24,43,133,304,0,18267,18840,17753
Central,2022-10-31,44,108,297,0,18375,19137,17753
Central,2022-11-07,45,82,287,0,18457,19424,17753
Central,2022-11-14,46,55,275,0,18512,19699,17753
Central,2022-11-21,47,28,261,0,18540,19960,17753
Central,2022-11-28,48,0,245,0,18540,20205,17753
Central,2022-12-05,49,0,228,0,18540,20433,17753
Central,2022-12-12,50,0,209,0,18540,20642,17753
Central,2022-12-19,51,0,189,0,18540,20831,17753
Central,2022-12-26,52,0,168,0,18540,20999,17753
Central,2023-01-02,53,0,147,0,18540,21146,17753
Central,2023-01-09,54,0,125,0,18540,21271,17753
Central,2023-01-16,55,0,102,0,18540,21373,17753
Central,2023-01-23,56,0,79,0,18540,21452,17753
Central,2023-01-30,57,0,55,0,18540,21507,17753
Central,2023-02-06,58,0,32,0,18540,21539,17753
Central,2023-02-13,59,0,8,0,18540,21547,17753
Central,2023-02-20,60,0,0,0,18540,21547,17753
Central,2023-02-27,61,0,0,0,18540,21547,17753
Central,2023-03-06,62,0,0,0,18540,21547,17753
Central,2023-03-13,63,0,0,0,18540,21547,17753
South and the Channel Islands,2022-10-03,40,200,329,71,18660,18789,18531
South and the Channel Islands,2022-10-10,41,176,326,36,18836,19115,18567
South and the Channel Islands,2022-10-17,42,153,324,3,18989,19439,18570
South and the Channel Islands,2022-10-24,43,130,321,0,19119,19760,18570
South and the Channel Islands,2022-10-31,44,106,316,0,19225,20076,18570
South and the Channel Islands,2022-11-07,45,82,309,0,19307,20385,18570
South and the Channel Islands,2022-11-14,46,58,300,0,19365,20685,18570
South and the Channel Islands,2022-11-21,47,33,289,0,19398,20974,18570
South and the Channel Islands,2022-11-28,48,7,277,0,19405,21251,18570
South and the Channel Islands,2022-12-05,49,0,263,0,19405,21514,18570
South and the Channel Islands,2022-12-12,50,0,249,0,19405,21763,18570
South and the Channel Islands,2022-12-19,51,0,234,0,19405,21997,18570
South and the Channel Islands,2022-12-26,52,0,218,0,19405,22215,18570
South and the Channel Islands,2023-01-02,53,0,201,0,19405,22416,18570
South and the Channel Islands,2023-01-09,54,0,184,0,19405,22600,18570
South and the Channel Islands,2023-01-16,55,0,166,0,19405,22766,18570
South and the Channel Islands,2023-01-23,56,0,148,0,19405,22914,18570
South and the Channel Islands,2023-01-30,57,0,130,0,19405,23044,18570
South and the Channel Islands,2023-02-06,58,0,111,0,19405,23155,18570
South and the Channel Islands,2023-02-13,59,0,93,0,19405,23248,18570
South and the Channel Islands,2023-02-20,60,0,74,0,19405,23322,18570
South and the Channel Islands,2023-02-27,61,0,55,0,19405,23377,18570
South and the Channel Islands,2023-03-06,62,0,36,0,19405,23413,18570
South and the Channel Islands,2023-03-13,63,0,16,0,19405,23429,18570
South East,2022-10-03,40,175,272,79,17195,17292,17099
South East,2022-10-10,41,155,266,50,17350,17558,17149
South East,2022-10-17,42,135,260,22,17485,17818,17171
South East,2022-10-24,43,114,254,0,17599,18072,17171
South East,2022-10-31,44,93,247,0,17692,18319,17171
South East,2022-11-07,45,72,239,0,17764,18558,17171
South East,2022-11-14,46,51,229,0,17815,18787,17171
South East,2022-11-21,47,30,217,0,17845,19004,17171
South East,2022-11-28,48,8,205,0,17853,19209,17171
South East,2022-12-05,49,0,191,0,17853,19400,17171
South East,2022-12-12,50,0,176,0,17853,19576,17171
South East,2022-12-19,51,0,161,0,17853,19737,17171
South East,2022-12-26,52,0,146,0,17853,19883,17171
South East,2023-01-02,53,0,129,0,17853,20012,17171
South East,2023-01-09,54,0,113,0,17853,20125,17171
South East,2023-01-16,55,0,96,0,17853,20221,17171
South East,2023-01-23,56,0,79,0,17853,20300,17171
South East,2023-01-30,57,0,61,0,17853,20361,17171
South East,2023-02-06,58,0,43,0,17853,20404,17171
South East,2023-02-13,59,0,25,0,17853,20429,17171
South East,2023-02-20,60,0,7,0,17853,20436,17171
South East,2023-02-27,61,0,0,0,17853,20436,17171
South East,2023-03-06,62,0,0,0,17853,20436,17171
South East,2023-03-13,63,0,0,0,17853,20436,17171
London,2022-10-03,40,228,319,137,13011,13102,12920
London,2022-10-10,41,216,322,115,13227,13424,13035
London,2022-10-17,42,204,326,93,13431,13750,13128
London,2022-10-24,43,193,332,71,13624,14082,13199
London,2022-10-31,44,181,338,49,13805,14420,13248
London,2022-11-07,45,169,344,28,13974,14764,13276
London,2022-11-14,46,156,352,8,14130,15116,13284
London,2022-11-21,47,143,359,0,14273,15475,13284
London,2022-11-28,48,130,366,0,14403,15841,13284
London,2022-12-05,49,116,371,0,14519,16212,13284
London,2022-12-12,50,101,375,0,14620,16587,13284
London,2022-12-19,51,86,378,0,14706,16965,13284
London,2022-12-26,52,70,380,0,14776,17345,13284
London,2023-01-02,53,52,380,0,14828,17725,13284
London,2023-01-09,54,34,379,0,14862,18104,13284
London,2023-01-16,55,15,377,0,14877,18481,13284
London,2023-01-23,56,0,374,0,14877,18855,13284
London,2023-01-30,57,0,369,0,14877,19224,13284
London,2023-02-06,58,0,364,0,14877,19588,13284
London,2023-02-13,59,0,357,0,14877,19945,13284
London,2023-02-20,60,0,350,0,14877,20295,13284
London,2023-02-27,61,0,342,0,14877,20637,13284
London,2023-03-06,62,0,332,0,14877,20969,13284
London,2023-03-13,63,0,322,0,14877,21291,13284
Northern Ireland and Isle of Man,2022-10-03,40,17,34,0,610,627,593
Northern Ireland and Isle of Man,2022-10-10,41,16,34,0,626,661,593
Northern Ireland and Isle of Man,2022-10-17,42,15,35,0,641,696,593
Northern Ireland and Isle of Man,2022-10-24,43,14,36,0,655,732,593
Northern Ireland and Isle of Man,2022-10-31,44,12,37,0,667,769,593
Northern Ireland and Isle of Man,2022-11-07,45,11,38,0,678,807,593
Northern Ireland and Isle of Man,2022-11-14,46,10,39,0,688,846,593
Northern Ireland and Isle of Man,2022-11-21,47,9,40,0,697,886,593
Northern Ireland and Isle of Man,2022-11-28,48,7,40,0,704,926,593
Northern Ireland and Isle of Man,2022-12-05,49,6,41,0,710,967,593
Northern Ireland and Isle of Man,2022-12-12,50,5,42,0,715,1009,593
Northern Ireland and Isle of Man,2022-12-19,51,3,42,0,718,1051,593
Northern Ireland and Isle of Man,2022-12-26,52,2,43,0,720,1094,593
Northern Ireland and Isle of Man,2023-01-02,53,0,43,0,720,1137,593
Northern Ireland and Isle of Man,2023-01-09,54,0,44,0,720,1181,593
Northern Ireland and Isle of Man,2023-01-16,55,0,44,0,720,1225,593
Northern Ireland and Isle of Man,2023-01-23,56,0,44,0,720,1269,593
Northern Ireland and Isle of Man,2023-01-30,57,0,45,0,720,1314,593
Northern Ireland and Isle of Man,2023-02-06,58,0,45,0,720,1359,593
Northern Ireland and Isle of Man,2023-02-13,59,0,45,0,720,1404,593
Northern Ireland and Isle of Man,2023-02-20,60,0,45,0,720,1449,593
Northern Ireland and Isle of Man,2023-02-27,61,0,46,0,720,1495,593
Northern Ireland and Isle of Man,2023-03-06,62,0,46,0,720,1541,593
Northern Ireland and Isle of Man,2023-03-13,63,0,46,0,720,1587,593
Scotland,2022-10-03,40,45,71,18,3679,3705,3652
Scotland,2022-10-10,41,40,70,11,3719,3775,3663
Scotland,2022-10-17,42,35,69,4,3754,3844,3667
Scotland,2022-10-24,43,30,68,0,3784,3912,3667
Scotland,2022-10-31,44,25,67,0,3809,3979,3667
Scotland,2022-11-07,45,21,66,0,3830,4045,3667
Scotland,2022-11-14,46,16,64,0,3846,4109,3667
Scotland,2022-11-21,47,10,62,0,3856,4171,3667
Scotland,2022-11-28,48,5,60,0,3861,4231,3667
Scotland,2022-12-05,49,0,57,0,3861,4288,3667
Scotland,2022-12-12,50,0,54,0,3861,4342,3667
Scotland,2022-12-19,51,0,51,0,3861,4393,3667
Scotland,2022-12-26,52,0,48,0,3861,4441,3667
Scotland,2023-01-02,53,0,44,0,3861,4485,3667
Scotland,2023-01-09,54,0,41,0,3861,4526,3667
Scotland,2023-01-16,55,0,37,0,3861,4563,3667
Scotland,2023-01-23,56,0,33,0,3861,4596,3667
Scotland,2023-01-30,57,0,30,0,3861,4626,3667
Scotland,2023-02-06,58,0,26,0,3861,4652,3667
Scotland,2023-02-13,59,0,22,0,3861,4674,3667
Scotland,2023-02-20,60,0,18,0,3861,4692,3667
Scotland,2023-02-27,61,0,14,0,3861,4706,3667
Scotland,2023-03-06,62,0,10,0,3861,4716,3667
Scotland,2023-03-13,63,0,6,0,3861,4722,3667
Wales,2022-10-03,40,34,51,17,2953,2970,2936
Wales,2022-10-10,41,30,49,11,2983,3019,2947
Wales,2022-10-17,42,25,47,5,3008,3066,2952
Wales,2022-10-24,43,21,45,0,3029,3111,2952
Wales,2022-10-31,44,16,43,0,3045,3154,2952
Wales,2022-11-07,45,11,40,0,3056,3194,2952
Wales,2022-11-14,46,7,37,0,3063,3231,2952
Wales,2022-11-21,47,2,34,0,3065,3265,2952
Wales,2022-11-28,48,0,31,0,3065,3296,2952
Wales,2022-12-05,49,0,27,0,3065,3323,2952
Wales,2022-12-12,50,0,23,0,3065,3346,2952
Wales,2022-12-19,51,0,19,0,3065,3365,2952
Wales,2022-12-26,52,0,15,0,3065,3380,2952
Wales,2023-01-02,53,0,11,0,3065,3391,2952
Wales,2023-01-09,54,0,7,0,3065,3398,2952
Wales,2023-01-16,55,0,3,0,3065,3401,2952
Wales,2023-01-23,56,0,0,0,3065,3401,2952
Wales,2023-01-30,57,0,0,0,3065,3401,2952
Wales,2023-02-06,58,0,0,0,3065,3401,2952
Wales,2023-02-13,59,0,0,0,3065,3401,2952
Wales,2023-02-20,60,0,0,0,3065,3401,2952
Wales,2023-02-27,61,0,0,0,3065,3401,2952
Wales,2023-03-06,62,0,0,0,3065,3401,2952
Wales,2023-03-13,63,0,0,0,3065,3401,2952
