Date,Week,Backlog of visa applications - Homes for Ukraine,Backlog of visa applications - Family Scheme,Backlog of visa applications - Super Sponsor,Backlog of visas issued - Homes for Ukraine,Backlog of visas issued - Family Scheme,Backlog of visas issued - Super Sponsor,Backlog of visas issued - Homes for Ukraine (upper bound),Backlog of visas issued - Family Scheme (upper bound),Backlog of visas issued - Super Sponsor (upper bound),Backlog of visas issued - Homes for Ukraine (lower bound),Backlog of visas issued - Family Scheme (lower bound),Backlog of visas issued - Super Sponsor (lower bound),Weekly applications - Homes for Ukraine,Weekly applications - Family Scheme,Arrival rate - Homes for Ukraine,Arrival rate - Family Scheme,Arrival rate - Super Sponsor,Arrival rate - Homes for Ukraine (upper bound),Arrival rate - Family Scheme (upper bound),Arrival rate - Super Sponsor (upper bound),Arrival rate - Homes for Ukraine (lower bound),Arrival rate - Family Scheme (lower bound),Arrival rate - Super Sponsor (lower bound),Weekly arrivals - Homes for Ukraine,Weekly arrivals - Family Scheme,Weekly arrivals - Super Sponsor,Weekly arrivals - Homes for Ukraine (upper bound),Weekly arrivals - Family Scheme (upper bound),Weekly arrivals - Super Sponsor (upper bound),Weekly arrivals - Homes for Ukraine (lower bound),Weekly arrivals - Family Scheme (lower bound),Weekly arrivals - Super Sponsor (lower bound),Weekly arrivals,Weekly arrivals (upper bound),Weekly arrivals (lower bound),Total arrivals,Total arrivals (upper bound),Total arrivals (lower bound)
2024-04-15,120,30835,31725,5671,26495,18660,13636,26764,18775,13738,26226,18528,13519,121,0,0.01457753370885571,0.007872540538268046,0.007872540538268046,0.026369049695539798,0.01689494853059914,0.01689494853059914,0.0027860177221716246,0,0,332,115,102,601,247,219,63,0,0,549,1067,63,204447,204965,203961
2024-04-22,121,27353,28035,5011,29701,22203,14188,30280,22465,14398,29115,21900,13947,104,0,0.01434347363245106,0.007887087774721833,0.007887087774721833,0.026033040188145784,0.016913511409207146,0.016913511409207146,0.0026539070767563327,0,0,380,147,108,697,318,232,70,0,0,635,1247,70,205082,206212,204031
2024-04-29,122,24258,24774,4428,32463,25289,14659,33388,25726,14981,31518,24781,14286,86,0,0.014109413556046408,0.007901635011175624,0.007901635011175624,0.025697030680751777,0.01693207428781516,0.01693207428781516,0.002521796431341039,0,0,419,175,112,778,380,244,73,0,0,706,1402,73,205788,207614,204104
2024-05-06,123,21506,21893,3913,34834,27970,15058,36134,28607,15496,33492,27226,14547,69,0,0.013875353479641757,0.007916182247629418,0.007916182247629418,0.025361021173357767,0.01695063716642317,0.01695063716642317,0.002389685785925747,0,0,450,200,116,847,436,254,75,0,0,766,1537,75,206554,209151,204179
2024-05-13,124,19057,19347,3458,36860,30294,15394,38559,31153,15951,35089,29287,14739,52,0,0.01364129340323711,0.007930729484083208,0.007930729484083208,0.02502501166596376,0.016969200045031184,0.016969200045031184,0.0022575751405104587,0,0,475,222,119,904,485,263,76,0,0,816,1652,76,207370,210803,204255
2024-05-20,125,16876,17097,3056,38582,32303,15674,40700,33403,16353,36353,31008,14870,35,0,0.013407233326832458,0.007945276720537003,0.007945276720537003,0.02468900215856975,0.016987762923639203,0.016987762923639203,0.002125464495095165,0,0,494,241,122,952,529,271,75,0,0,857,1752,75,208227,212555,204330
2024-05-27,126,14930,15108,2701,40037,34035,15904,42591,35392,16708,37325,32429,14947,17,0,0.013173173250427807,0.007959823956990793,0.007959823956990793,0.024352992651175742,0.017006325802247216,0.017006325802247216,0.001993353849679873,0,0,508,257,125,991,568,278,72,0,0,890,1837,72,209117,214392,204402
2024-06-03,127,13194,13351,2387,41255,35521,16091,44258,37149,17022,38038,33583,14977,0,0,0.012939113174023156,0.00797437119344458,0.00797437119344458,0.02401698314378173,0.01702488868085522,0.01702488868085522,0.0018612432042645812,0,0,518,271,127,1023,603,284,69,0,0,916,1910,69,210033,216302,204471
2024-06-10,128,11659,11798,2109,42266,36790,16240,45727,38702,17300,38525,34503,14965,0,0,0.012705053097618504,0.007988918429898371,0.007988918429898371,0.02368097363638772,0.017043451559463234,0.017043451559463234,0.0017291325588492893,0,0,524,284,129,1048,633,290,66,0,0,937,1971,66,210970,218273,204537
2024-06-17,129,10303,10426,1864,43095,37868,16355,47021,40074,17545,38814,35215,14915,0,0,0.012470993021213853,0.008003465666352166,0.008003465666352166,0.02334496412899371,0.01706201443807125,0.01706201443807125,0.0015970219134339957,0,0,527,294,130,1067,660,295,62,0,0,951,2022,62,211921,220295,204599
2024-06-24,130,9105,9213,1647,43766,38777,16441,48162,41287,17762,38930,35744,14832,0,0,0.012236932944809206,0.008018012902805956,0.008018012902805956,0.023008954621599707,0.01708057731667926,0.01708057731667926,0.0014649112680187055,0,0,527,304,131,1082,684,300,57,0,0,962,2066,57,212883,222361,204656
2024-07-01,131,8046,8141,1455,44300,39538,16501,49169,42359,17954,38897,36110,14720,0,0,0.012002872868404554,0.00803256013925975,0.00803256013925975,0.022672945114205693,0.017099140195287278,0.017099140195287278,0.0013328006226034136,0,0,525,311,132,1092,706,304,52,0,0,968,2102,52,213851,224463,204708
2024-07-08,132,7110,7194,1286,44715,40167,16537,50058,43306,18123,38735,36332,14582,0,0,0.011768812791999903,0.008047107375713541,0.008047107375713541,0.022336935606811686,0.01711770307389529,0.01711770307389529,0.0012006899771881217,0,0,521,318,133,1098,725,307,47,0,0,972,2130,47,214823,226593,204755
2024-07-15,133,6283,6357,1136,45026,40680,16554,50844,44143,18273,38461,36427,14421,0,0,0.011534752715595252,0.008061654612167336,0.008061654612167336,0.022000926099417676,0.017136265952503303,0.017136265952503303,0.001068579331772828,0,0,516,324,133,1101,742,311,41,0,0,973,2154,41,215796,228747,204796
2024-07-22,134,5552,5618,1004,45248,41090,16552,51539,44882,18405,38090,36409,14240,0,0,0.0113006926391906,0.008076201848621123,0.008076201848621123,0.021664916592023666,0.017154828831111316,0.017154828831111316,9.364686863575361e-4,0,0,509,329,134,1102,757,313,36,0,0,972,2172,36,216768,230919,204832
2024-07-29,135,4906,4965,887,45393,41411,16535,52154,45535,18522,37637,36291,14041,0,0,0.01106663256278595,0.008090749085074914,0.008090749085074914,0.021328907084629655,0.017173391709719325,0.017173391709719325,8.043580409422442e-4,0,0,501,332,134,1099,771,316,31,0,0,967,2186,31,217735,233105,204863
2024-08-05,136,4335,4388,784,45472,41652,16504,52700,46112,18625,37113,36085,13826,0,0,0.010832572486381302,0.008105296321528708,0.008105296321528708,0.02099289757723565,0.01719195458832734,0.01719195458832734,6.72247395526954e-4,0,0,492,336,134,1095,783,318,25,0,0,962,2196,25,218697,235301,204888
2024-08-12,137,3831,3878,693,45494,41824,16461,53184,46622,18716,36528,35801,13596,0,0,0.01059851240997665,0.008119843557982499,0.008119843557982499,0.020656888069841638,0.017210517466935353,0.017210517466935353,5.401367501116621e-4,0,0,482,338,134,1089,794,321,20,0,0,954,2204,20,219651,237505,204908
2024-08-19,138,3385,3427,612,45468,41935,16408,53615,47073,18797,35893,35449,13355,0,0,0.010364452333572,0.008134390794436293,0.008134390794436293,0.02032087856244763,0.017229080345543366,0.017229080345543366,4.080261046963702e-4,0,0,472,340,134,1081,803,322,15,0,0,946,2206,15,220597,239711,204923
2024-08-26,139,2991,3028,541,45401,41992,16345,53999,47472,18868,35216,35036,13102,0,0,0.010130392257167348,0.008148938030890084,0.008148938030890084,0.01998486905505362,0.017247643224151378,0.017247643224151378,2.7591545928107655e-4,0,0,461,342,134,1071,812,324,10,0,0,937,2207,10,221534,241918,204933
2024-09-02,140,2643,2676,478,45300,42001,16275,54342,47824,18931,34503,34568,12839,0,0,0.009896332180762697,0.008163485267343867,0.008163485267343867,0.01964885954765961,0.017266206102759384,0.017266206102759384,1.4380481386578638e-4,0,0,449,343,133,1061,820,326,5,0,0,925,2207,5,222459,244125,204938
2024-09-09,141,2336,2365,422,45169,41969,16198,54649,48135,18987,33761,34052,12568,0,0,0.009662272104358046,0.008178032503797665,0.008178032503797665,0.019312850040265596,0.017284768981367403,0.017284768981367403,1.1694168450494466e-5,0,0,438,343,133,1049,827,327,0,0,0,914,2203,0,223373,246328,204938
2024-09-16,142,2064,2090,373,45015,41900,16114,54921,48410,19036,32996,33494,12288,0,0,0.009428212027953395,0.008192579740251456,0.008192579740251456,0.01897684053287159,0.017303331859975415,0.017303331859975415,0,0,0,426,344,133,1037,833,329,0,0,0,903,2199,0,224276,248527,204938
2024-09-23,143,1824,1847,330,44841,41799,16025,55161,48653,19079,32212,32898,12001,0,0,0.009194151951548747,0.008207126976705247,0.008207126976705247,0.018640831025477582,0.017321894738583428,0.017321894738583428,0,0,0,414,344,132,1024,839,330,0,0,0,890,2193,0,225166,250720,204938
