Date,Week,Backlog of visa applications - Homes for Ukraine,Backlog of visa applications - Family Scheme,Backlog of visa applications - Super Sponsor,Backlog of visas issued - Homes for Ukraine,Backlog of visas issued - Family Scheme,Backlog of visas issued - Super Sponsor,Backlog of visas issued - Homes for Ukraine (upper bound),Backlog of visas issued - Family Scheme (upper bound),Backlog of visas issued - Super Sponsor (upper bound),Backlog of visas issued - Homes for Ukraine (lower bound),Backlog of visas issued - Family Scheme (lower bound),Backlog of visas issued - Super Sponsor (lower bound),Weekly applications - Homes for Ukraine,Weekly applications - Family Scheme,Arrival rate - Homes for Ukraine,Arrival rate - Family Scheme,Arrival rate - Super Sponsor,Arrival rate - Homes for Ukraine (upper bound),Arrival rate - Family Scheme (upper bound),Arrival rate - Super Sponsor (upper bound),Arrival rate - Homes for Ukraine (lower bound),Arrival rate - Family Scheme (lower bound),Arrival rate - Super Sponsor (lower bound),Weekly arrivals - Homes for Ukraine,Weekly arrivals - Family Scheme,Weekly arrivals - Super Sponsor,Weekly arrivals - Homes for Ukraine (upper bound),Weekly arrivals - Family Scheme (upper bound),Weekly arrivals - Super Sponsor (upper bound),Weekly arrivals - Homes for Ukraine (lower bound),Weekly arrivals - Family Scheme (lower bound),Weekly arrivals - Super Sponsor (lower bound),Weekly arrivals,Weekly arrivals (upper bound),Weekly arrivals (lower bound),Total arrivals,Total arrivals (upper bound),Total arrivals (lower bound)
2023-12-18,103,29287,31502,5723,27241,19391,13954,27504,19413,13973,26979,19292,13870,293,115,0.018237495829168875,0.0014336368257791138,0.0014336368257791138,0.02910855243126686,0.007756702404566826,0.007756702404566826,0.0073664392270708905,0,0,441,22,19,703,121,103,178,0,0,482,927,178,195510,195955,195206
2023-12-25,104,26387,28192,5103,29924,22786,14561,30481,22826,14593,29362,22567,14391,273,103,0.01799596835075464,9.345803701030497e-4,9.345803701030497e-4,0.028729575254596205,0.0071092277704855236,0.0071092277704855236,0.00726236144691308,0,0,490,18,13,790,138,99,196,0,0,521,1027,196,196031,196982,195402
2024-01-01,105,23782,25229,4550,32251,25830,15108,33129,25880,15146,31356,25474,14850,253,91,0.017754440872340405,4.355239144269857e-4,4.355239144269857e-4,0.02835059807792554,0.006461753136404223,0.006461753136404223,0.007158283666755269,0,0,531,10,6,864,147,94,210,0,0,547,1105,210,196578,198087,195612
2024-01-08,106,21439,22575,4057,34262,28563,15601,35484,28613,15639,33005,28057,15255,233,79,0.017512913393926167,0,0,0.02797162090125488,0.00581427850232292,0.00581427850232292,0.007054205886597456,0,0,565,0,0,927,150,88,221,0,0,565,1165,221,197143,199252,195833
2024-01-15,107,19330,20196,3618,35992,31009,16040,37577,31059,16078,34348,30355,15613,213,67,0.017271385915511934,0,0,0.027592643724584223,0.005166803868241617,0.005166803868241617,0.006950128106439645,0,0,592,0,0,979,148,81,229,0,0,592,1208,229,197735,200460,196062
2024-01-22,108,17429,18063,3226,37473,33197,16432,39436,33247,16470,35419,32403,15932,193,55,0.0170298584370977,0,0,0.027213666547913566,0.004519329234160316,0.004519329234160316,0.006846050326281836,0,0,613,0,0,1023,140,73,235,0,0,613,1236,235,198348,201696,196297
2024-01-29,109,15714,16149,2877,38732,35154,16781,41085,35204,16819,36249,34231,16217,173,43,0.016788330958683463,0,0,0.0268346893712429,0.0038718546000790135,0.0038718546000790135,0.006741972546124027,0,0,629,0,0,1058,129,64,239,0,0,629,1251,239,198977,202947,196536
2024-02-05,110,14165,14431,2565,39793,36903,17093,42546,36953,17131,36864,35866,16475,153,31,0.01654680348026923,0,0,0.026455712194572243,0.003224379965997711,0.003224379965997711,0.006637894765966216,0,0,641,0,0,1087,114,54,241,0,0,641,1255,241,199618,204202,196777
2024-02-12,111,12765,12887,2287,40678,38466,17371,43839,38516,17409,37289,37334,16709,134,19,0.016305276001854992,0,0,0.02607673501790158,0.0025769053319164093,0.0025769053319164093,0.006533816985808403,0,0,649,0,0,1109,95,44,241,0,0,649,1248,241,200267,205450,197018
2024-02-19,112,11496,11498,2039,41408,39862,17619,44982,39912,17657,37545,38656,16923,114,7,0.01606374852344076,0,0,0.025697757841230923,0.0019294306978351076,0.0019294306978351076,0.006429739205650594,0,0,653,0,0,1127,74,34,240,0,0,653,1235,240,200920,206685,197258
2024-02-26,113,10345,10252,1818,41998,41108,17840,45990,41158,17878,37651,39851,17121,94,0,0.01582222104502652,0,0,0.02531878066456026,0.001281956063753806,0.001281956063753806,0.006325661425492783,0,0,655,0,0,1139,51,23,237,0,0,655,1213,237,201575,207898,197495
2024-03-04,114,9298,9141,1621,42465,42219,18037,46877,42269,18075,37625,40936,17307,74,0,0.015580693566612288,0,0,0.024939803487889604,6.344814296725025e-4,6.344814296725025e-4,0.006221583645334972,0,0,654,0,0,1147,26,11,234,0,0,654,1184,234,202229,209082,197729
2024-03-11,115,8345,8151,1445,42821,43209,18213,47654,43259,18251,37481,41926,17483,54,0,0.01533916608819805,0,0,0.02456082631121894,0,0,0.006117505865177161,0,0,651,0,0,1151,0,0,230,0,0,651,1151,230,202880,210233,197959
2024-03-18,116,7475,7268,1288,43079,44092,18370,48333,44142,18408,37233,42809,17640,34,0,0.015097638609783817,0,0,0.024181849134548284,0,0,0.00601342808501935,0,0,646,0,0,1152,0,0,225,0,0,646,1152,225,203526,211385,198184
2024-03-25,117,6679,6481,1148,43249,44879,18510,48923,44929,18548,36893,43596,17780,14,0,0.01485611113136958,0,0,0.02380287195787762,0,0,0.0059093503048615395,0,0,640,0,0,1150,0,0,220,0,0,640,1150,220,204166,212535,198404
2024-04-01,118,5955,5779,1024,43341,45581,18634,49433,45631,18672,36471,44298,17904,0,0,0.014614583652955346,0,0,0.02342389478120696,0,0,0.00580527252470373,0,0,632,0,0,1146,0,0,214,0,0,632,1146,214,204798,213681,198618
2024-04-08,119,5310,5153,913,43363,46207,18745,49870,46257,18783,35977,44924,18015,0,0,0.01437305617454111,0,0,0.0230449176045363,0,0,0.005701194744545918,0,0,623,0,0,1139,0,0,208,0,0,623,1139,208,205421,214820,198826
2024-04-15,120,4735,4595,814,43325,46765,18844,50244,46815,18882,35422,45482,18114,0,0,0.014131528696126876,0,0,0.02266594042786564,0,0,0.0055971169643881085,0,0,613,0,0,1130,0,0,201,0,0,613,1130,201,206034,215950,199027
2024-04-22,121,4222,4097,726,43236,47263,18932,50562,47313,18970,34815,45980,18202,0,0,0.013890001217712639,0,0,0.02228696325119498,0,0,0.005493039184230296,0,0,602,0,0,1120,0,0,195,0,0,602,1120,195,206636,217070,199222
2024-04-29,122,3765,3653,647,43103,47707,19011,50831,47757,19049,34164,46424,18281,0,0,0.013648473739298405,0,0,0.02190798607452432,0,0,0.005388961404072487,0,0,590,0,0,1108,0,0,188,0,0,590,1108,188,207226,218178,199410
2024-05-06,123,3357,3257,577,42933,48103,19081,51058,48153,19119,33478,46820,18351,0,0,0.013406946260884168,0,0,0.021529008897853662,0,0,0.005284883623914674,0,0,578,0,0,1094,0,0,181,0,0,578,1094,181,207804,219272,199591
2024-05-13,124,2993,2904,514,42732,48456,19144,51249,48506,19182,32762,47173,18414,0,0,0.013165418782469934,0,0,0.021150031721183002,0,0,0.005180805843756865,0,0,565,0,0,1080,0,0,173,0,0,565,1080,173,208369,220352,199764
2024-05-20,125,2669,2589,458,42504,48771,19200,51407,48821,19238,32022,47488,18470,0,0,0.012923891304055697,0,0,0.020771054544512342,0,0,0.005076728063599052,0,0,552,0,0,1064,0,0,166,0,0,552,1064,166,208921,221416,199930
2024-05-27,126,2380,2309,408,42254,49051,19250,51537,49101,19288,31263,47768,18520,0,0,0.012682363825641464,0,0,0.020392077367841686,0,0,0.004972650283441242,0,0,539,0,0,1048,0,0,159,0,0,539,1048,159,209460,222464,200089
