Date,Week,Backlog of visa applications - Homes for Ukraine,Backlog of visa applications - Family Scheme,Backlog of visa applications - Super Sponsor,Backlog of visas issued - Homes for Ukraine,Backlog of visas issued - Family Scheme,Backlog of visas issued - Super Sponsor,Backlog of visas issued - Homes for Ukraine (upper bound),Backlog of visas issued - Family Scheme (upper bound),Backlog of visas issued - Super Sponsor (upper bound),Backlog of visas issued - Homes for Ukraine (lower bound),Backlog of visas issued - Family Scheme (lower bound),Backlog of visas issued - Super Sponsor (lower bound),Weekly applications - Homes for Ukraine,Weekly applications - Family Scheme,Arrival rate - Homes for Ukraine,Arrival rate - Family Scheme,Arrival rate - Super Sponsor,Arrival rate - Homes for Ukraine (upper bound),Arrival rate - Family Scheme (upper bound),Arrival rate - Super Sponsor (upper bound),Arrival rate - Homes for Ukraine (lower bound),Arrival rate - Family Scheme (lower bound),Arrival rate - Super Sponsor (lower bound),Weekly arrivals - Homes for Ukraine,Weekly arrivals - Family Scheme,Weekly arrivals - Super Sponsor,Weekly arrivals - Homes for Ukraine (upper bound),Weekly arrivals - Family Scheme (upper bound),Weekly arrivals - Super Sponsor (upper bound),Weekly arrivals - Homes for Ukraine (lower bound),Weekly arrivals - Family Scheme (lower bound),Weekly arrivals - Super Sponsor (lower bound),Weekly arrivals,Weekly arrivals (upper bound),Weekly arrivals (lower bound),Total arrivals,Total arrivals (upper bound),Total arrivals (lower bound)
2023-03-06,62,24848,20499,5087,22952,20966,14725,24011,21455,15124,21775,20472,14321,6904,3080,0.1365994543933463,0.08070359979549055,0.08264147571733804,0.15231407253960644,0.08916926839687044,0.09173046570143614,0.12088483624708617,0.07223793119411066,0.07355248573323994,3251,1636,1265,3716,1834,1426,2791,1443,1108,6152,6976,5342,171152,173227,169205
2023-03-13,63,23928,20539,4486,22755,21698,14109,24317,22400,14672,21056,20983,13535,2018,2464,0.1365994543933463,0.08070359979549055,0.08264147571733804,0.15231407253960644,0.08916926839687044,0.09173046570143614,0.12088483624708617,0.07223793119411066,0.07355248573323994,3135,1692,1217,3657,1913,1387,2632,1479,1053,6044,6957,5164,177196,180184,174369
2023-03-20,64,23007,19959,3956,22476,22375,13473,24601,23312,14206,20181,21414,12719,1908,1848,0.1365994543933463,0.08070359979549055,0.08264147571733804,0.15231407253960644,0.08916926839687044,0.09173046570143614,0.12088483624708617,0.07223793119411066,0.07355248573323994,3108,1751,1166,3704,1997,1346,2545,1516,996,6025,7047,5057,183221,187231,179426
2023-03-27,65,22384,19095,3488,22126,22929,12828,24881,24125,13738,19154,21695,11884,2097,1496,0.1365994543933463,0.08070359979549055,0.08264147571733804,0.15231407253960644,0.08916926839687044,0.09173046570143614,0.12088483624708617,0.07223793119411066,0.07355248573323994,3070,1806,1113,3747,2079,1303,2440,1547,936,5989,7129,4923,189210,194360,184349
2023-04-03,66,21196,17981,3076,21750,23337,12180,25212,24816,13276,18010,21802,11036,1458,1144,0.1365994543933463,0.08070359979549055,0.08264147571733804,0.15231407253960644,0.08916926839687044,0.09173046570143614,0.12088483624708617,0.07223793119411066,0.07355248573323994,3022,1850,1060,3790,2151,1260,2315,1567,874,5932,7201,4756,195142,201561,189105
2023-04-10,67,20114,16999,2712,21285,23580,11537,25541,25367,12828,16676,21715,10182,1424,1144,0.1365994543933463,0.08070359979549055,0.08264147571733804,0.15231407253960644,0.08916926839687044,0.09173046570143614,0.12088483624708617,0.07223793119411066,0.07355248573323994,2971,1883,1007,3840,2213,1218,2177,1575,812,5861,7271,4564,201003,208832,193669
