Region,Date,Week,Weekly arrivals,Weekly arrivals (upper bound),Weekly arrivals (lower bound),Total arrivals,Total arrivals (upper bound),Total arrivals (lower bound)
North,2023-11-13,98,0,24,0,15052,15076,15052
North,2023-11-20,99,0,23,0,15052,15099,15052
North,2023-11-27,100,0,21,0,15052,15120,15052
North,2023-12-04,101,0,19,0,15052,15139,15052
North,2023-12-11,102,0,15,0,15052,15154,15052
North,2023-12-18,103,0,12,0,15052,15166,15052
North,2023-12-25,104,0,7,0,15052,15173,15052
North,2024-01-01,105,0,2,0,15052,15175,15052
North,2024-01-08,106,0,0,0,15052,15175,15052
North,2024-01-15,107,0,0,0,15052,15175,15052
North,2024-01-22,108,0,0,0,15052,15175,15052
North,2024-01-29,109,0,0,0,15052,15175,15052
North,2024-02-05,110,0,0,0,15052,15175,15052
North,2024-02-12,111,0,0,0,15052,15175,15052
North,2024-02-19,112,0,0,0,15052,15175,15052
North,2024-02-26,113,0,0,0,15052,15175,15052
North,2024-03-04,114,0,0,0,15052,15175,15052
North,2024-03-11,115,0,0,0,15052,15175,15052
North,2024-03-18,116,0,0,0,15052,15175,15052
North,2024-03-25,117,0,0,0,15052,15175,15052
North,2024-04-01,118,0,0,0,15052,15175,15052
North,2024-04-08,119,0,0,0,15052,15175,15052
North,2024-04-15,120,0,0,0,15052,15175,15052
North,2024-04-22,121,0,0,0,15052,15175,15052
Central,2023-11-13,98,0,95,0,25042,25137,25042
Central,2023-11-20,99,0,100,0,25042,25237,25042
Central,2023-11-27,100,0,103,0,25042,25340,25042
Central,2023-12-04,101,0,104,0,25042,25444,25042
Central,2023-12-11,102,0,105,0,25042,25549,25042
Central,2023-12-18,103,0,104,0,25042,25653,25042
Central,2023-12-25,104,0,102,0,25042,25755,25042
Central,2024-01-01,105,0,99,0,25042,25854,25042
Central,2024-01-08,106,0,95,0,25042,25949,25042
Central,2024-01-15,107,0,91,0,25042,26040,25042
Central,2024-01-22,108,0,86,0,25042,26126,25042
Central,2024-01-29,109,0,80,0,25042,26206,25042
Central,2024-02-05,110,0,74,0,25042,26280,25042
Central,2024-02-12,111,0,67,0,25042,26347,25042
Central,2024-02-19,112,0,60,0,25042,26407,25042
Central,2024-02-26,113,0,52,0,25042,26459,25042
Central,2024-03-04,114,0,44,0,25042,26503,25042
Central,2024-03-11,115,0,36,0,25042,26539,25042
Central,2024-03-18,116,0,28,0,25042,26567,25042
Central,2024-03-25,117,0,19,0,25042,26586,25042
Central,2024-04-01,118,0,10,0,25042,26596,25042
Central,2024-04-08,119,0,1,0,25042,26597,25042
Central,2024-04-15,120,0,0,0,25042,26597,25042
Central,2024-04-22,121,0,0,0,25042,26597,25042
South and the Channel Islands,2023-11-13,98,0,22,0,22689,22711,22689
South and the Channel Islands,2023-11-20,99,0,19,0,22689,22730,22689
South and the Channel Islands,2023-11-27,100,0,15,0,22689,22745,22689
South and the Channel Islands,2023-12-04,101,0,10,0,22689,22755,22689
South and the Channel Islands,2023-12-11,102,0,5,0,22689,22760,22689
South and the Channel Islands,2023-12-18,103,0,0,0,22689,22760,22689
South and the Channel Islands,2023-12-25,104,0,0,0,22689,22760,22689
South and the Channel Islands,2024-01-01,105,0,0,0,22689,22760,22689
South and the Channel Islands,2024-01-08,106,0,0,0,22689,22760,22689
South and the Channel Islands,2024-01-15,107,0,0,0,22689,22760,22689
South and the Channel Islands,2024-01-22,108,0,0,0,22689,22760,22689
South and the Channel Islands,2024-01-29,109,0,0,0,22689,22760,22689
South and the Channel Islands,2024-02-05,110,0,0,0,22689,22760,22689
South and the Channel Islands,2024-02-12,111,0,0,0,22689,22760,22689
