Date,Week,Backlog of visa applications - Homes for Ukraine,Backlog of visa applications - Family Scheme,Backlog of visa applications - Super Sponsor,Backlog of visas issued - Homes for Ukraine,Backlog of visas issued - Family Scheme,Backlog of visas issued - Super Sponsor,Backlog of visas issued - Homes for Ukraine (upper bound),Backlog of visas issued - Family Scheme (upper bound),Backlog of visas issued - Super Sponsor (upper bound),Backlog of visas issued - Homes for Ukraine (lower bound),Backlog of visas issued - Family Scheme (lower bound),Backlog of visas issued - Super Sponsor (lower bound),Weekly applications - Homes for Ukraine,Weekly applications - Family Scheme,Arrival rate - Homes for Ukraine,Arrival rate - Family Scheme,Arrival rate - Super Sponsor,Arrival rate - Homes for Ukraine (upper bound),Arrival rate - Family Scheme (upper bound),Arrival rate - Super Sponsor (upper bound),Arrival rate - Homes for Ukraine (lower bound),Arrival rate - Family Scheme (lower bound),Arrival rate - Super Sponsor (lower bound),Weekly arrivals - Homes for Ukraine,Weekly arrivals - Family Scheme,Weekly arrivals - Super Sponsor,Weekly arrivals - Homes for Ukraine (upper bound),Weekly arrivals - Family Scheme (upper bound),Weekly arrivals - Super Sponsor (upper bound),Weekly arrivals - Homes for Ukraine (lower bound),Weekly arrivals - Family Scheme (lower bound),Weekly arrivals - Super Sponsor (lower bound),Weekly arrivals,Weekly arrivals (upper bound),Weekly arrivals (lower bound),Total arrivals,Total arrivals (upper bound),Total arrivals (lower bound)
2024-10-28,148,35519,32386,5782,24921,17407,13163,25295,17414,13170,24548,17330,13094,140,0,0.024412184561244367,5.296537866084916e-4,5.296537866084916e-4,0.04167891151945673,0.006031576500494234,0.006031576500494234,0.007145457603032007,0,0,528,7,7,901,84,76,154,0,0,542,1061,154,216006,216525,215618
2024-11-04,149,32171,29216,5216,27820,20570,13724,28614,20584,13736,27015,20398,13583,129,0,0.02318039402980442,3.866087550623322e-4,3.866087550623322e-4,0.03994101961168613,0.005840006545463428,0.005840006545463428,0.006419768447922709,0,0,578,7,5,1010,102,77,158,0,0,590,1189,158,216596,217714,215776
2024-11-11,150,29140,26356,4705,30358,23425,14232,31609,23444,14247,29071,23142,14016,118,0,0.02194860349836447,2.4356372351617625e-4,2.4356372351617625e-4,0.038203127703915526,0.005648436590432626,0.005648436590432626,0.005694079292813407,0,0,611,5,3,1093,116,78,154,0,0,619,1287,154,217215,219001,215930
2024-11-18,151,26394,23776,4244,32581,26003,14692,34317,26024,14708,30770,25594,14399,106,0,0.020716812966924493,1.0051869197001337e-4,1.0051869197001337e-4,0.0364652357961449,0.005456866635401815,0.005456866635401815,0.004968390137704087,0,0,629,2,1,1153,128,78,144,0,0,632,1359,144,217847,220360,216074
2024-11-25,152,23905,21449,3829,34530,28330,15107,36770,28351,15123,32162,27784,14737,95,0,0.01948502243548456,0,0,0.034727343888374326,0.005265296680371009,0.005265296680371009,0.0042427009825947905,0,0,635,0,0,1192,137,77,131,0,0,635,1406,131,218482,221766,216205
2024-12-02,153,21648,19349,3454,36240,30430,15482,38997,30451,15498,33289,29740,15035,83,0,0.01825323190404461,0,0,0.03298945198060373,0.005073726725340207,0.005073726725340207,0.0035170118274854903,0,0,630,0,0,1213,144,77,113,0,0,630,1434,113,219112,223200,216318
2024-12-09,154,19601,17455,3116,37742,32324,15820,41023,32345,15836,34189,31485,15297,72,0,0.017021441372604636,0,0,0.0312515600728331,0.004882156770309395,0.004882156770309395,0.0027913226723761744,0,0,617,0,0,1219,149,76,93,0,0,617,1444,93,219729,224644,216411
2024-12-16,155,17742,15746,2811,39065,34033,16125,42871,34054,16141,34897,33042,15528,60,0,0.015789650841164685,0,0,0.029513668165062498,0.004690586815278593,0.004690586815278593,0.0020656335172668724,0,0,596,0,0,1211,152,74,71,0,0,596,1437,71,220325,226081,216482
2024-12-23,156,16054,14205,2536,40233,35574,16400,44561,35595,16416,35443,34430,15730,49,0,0.014557860309724738,0,0,0.027775776257291905,0.004499016860247791,0.004499016860247791,0.0013399443621575705,0,0,569,0,0,1191,153,73,47,0,0,569,1417,47,220894,227498,216529
2024-12-30,157,14520,12815,2288,41268,36964,16648,46110,36985,16664,35854,35667,15907,37,0,0.013326069778284762,0,0,0.02603788434952127,0.004307446905216976,0.004307446905216976,6.142552070482529e-4,0,0,536,0,0,1160,153,71,22,0,0,536,1384,22,221430,228882,216551
2025-01-06,158,13125,11561,2064,42190,38218,16872,47531,38239,16888,36155,36769,16062,26,0,0.012094279246844815,0,0,0.024299992441750677,0.004115876950186164,0.004115876950186164,0,0,0,499,0,0,1120,152,69,0,0,0,499,1341,0,221929,230223,216551
2025-01-13,159,11854,10429,1862,43017,39350,17074,48816,39371,17090,36368,37751,16198,14,0,0.010862488715404864,0,0,0.022562100533980077,0.003924306995155362,0.003924306995155362,0,0,0,458,0,0,1072,150,66,0,0,0,458,1288,0,222387,231511,216551
2025-01-20,160,10697,9408,1680,43763,40371,17256,49976,40392,17272,36511,38625,16316,3,0,0.009630698183964888,0,0,0.020824208626209442,0.003732737040124557,0.003732737040124557,0,0,0,414,0,0,1017,147,64,0,0,0,414,1228,0,222801,232739,216551
2025-01-27,161,9650,8487,1516,44442,41292,17420,51023,41313,17436,36604,39403,16419,0,0,0.008398907652524941,0,0,0.019086316718438853,0.0035411670850937554,0.0035411670850937554,0,0,0,368,0,0,954,143,61,0,0,0,368,1158,0,223169,233897,216551
