Region,Date,Week,Weekly arrivals,Weekly arrivals (upper bound),Weekly arrivals (lower bound),Total arrivals,Total arrivals (upper bound),Total arrivals (lower bound)
North,2023-05-01,70,5,132,0,15249,15376,15244
North,2023-05-08,71,0,140,0,15249,15516,15244
North,2023-05-15,72,0,146,0,15249,15662,15244
North,2023-05-22,73,0,151,0,15249,15813,15244
North,2023-05-29,74,0,154,0,15249,15967,15244
North,2023-06-05,75,0,156,0,15249,16123,15244
North,2023-06-12,76,0,157,0,15249,16280,15244
North,2023-06-19,77,0,157,0,15249,16437,15244
North,2023-06-26,78,0,156,0,15249,16593,15244
North,2023-07-03,79,0,154,0,15249,16747,15244
North,2023-07-10,80,0,152,0,15249,16899,15244
North,2023-07-17,81,0,148,0,15249,17047,15244
North,2023-07-24,82,0,144,0,15249,17191,15244
North,2023-07-31,83,0,140,0,15249,17331,15244
North,2023-08-07,84,0,135,0,15249,17466,15244
North,2023-08-14,85,0,130,0,15249,17596,15244
North,2023-08-21,86,0,124,0,15249,17720,15244
North,2023-08-28,87,0,118,0,15249,17838,15244
North,2023-09-04,88,0,112,0,15249,17950,15244
North,2023-09-11,89,0,105,0,15249,18055,15244
North,2023-09-18,90,0,98,0,15249,18153,15244
North,2023-09-25,91,0,91,0,15249,18244,15244
North,2023-10-02,92,0,84,0,15249,18328,15244
North,2023-10-09,93,0,76,0,15249,18404,15244
Central,2023-05-01,70,3,187,0,21963,22147,21960
Central,2023-05-08,71,0,197,0,21963,22344,21960
Central,2023-05-15,72,0,205,0,21963,22549,21960
Central,2023-05-22,73,0,210,0,21963,22759,21960
Central,2023-05-29,74,0,214,0,21963,22973,21960
Central,2023-06-05,75,0,216,0,21963,23189,21960
Central,2023-06-12,76,0,216,0,21963,23405,21960
Central,2023-06-19,77,0,215,0,21963,23620,21960
Central,2023-06-26,78,0,213,0,21963,23833,21960
Central,2023-07-03,79,0,210,0,21963,24043,21960
Central,2023-07-10,80,0,206,0,21963,24249,21960
Central,2023-07-17,81,0,201,0,21963,24450,21960
Central,2023-07-24,82,0,195,0,21963,24645,21960
Central,2023-07-31,83,0,189,0,21963,24834,21960
Central,2023-08-07,84,0,182,0,21963,25016,21960
Central,2023-08-14,85,0,174,0,21963,25190,21960
Central,2023-08-21,86,0,166,0,21963,25356,21960
Central,2023-08-28,87,0,157,0,21963,25513,21960
Central,2023-09-04,88,0,149,0,21963,25662,21960
Central,2023-09-11,89,0,139,0,21963,25801,21960
Central,2023-09-18,90,0,130,0,21963,25931,21960
Central,2023-09-25,91,0,120,0,21963,26051,21960
Central,2023-10-02,92,0,109,0,21963,26160,21960
Central,2023-10-09,93,0,99,0,21963,26259,21960
South and the Channel Islands,2023-05-01,70,0,151,0,22023,22174,22023
South and the Channel Islands,2023-05-08,71,0,156,0,22023,22330,22023
South and the Channel Islands,2023-05-15,72,0,159,0,22023,22489,22023
South and the Channel Islands,2023-05-22,73,0,161,0,22023,22650,22023
South and the Channel Islands,2023-05-29,74,0,161,0,22023,22811,22023
South and the Channel Islands,2023-06-05,75,0,160,0,22023,22971,22023
South and the Channel Islands,2023-06-12,76,0,158,0,22023,23129,22023
South and the Channel Islands,2023-06-19,77,0,155,0,22023,23284,22023
South and the Channel Islands,2023-06-26,78,0,150,0,22023,23434,22023
South and the Channel Islands,2023-07-03,79,0,146,0,22023,23580,22023
South and the Channel Islands,2023-07-10,80,0,140,0,22023,23720,22023
South and the Channel Islands,2023-07-17,81,0,134,0,22023,23854,22023
South and the Channel Islands,2023-07-24,82,0,127,0,22023,23981,22023
South and the Channel Islands,2023-07-31,83,0,120,0,22023,24101,22023
South and the Channel Islands,2023-08-07,84,0,112,0,22023,24213,22023
South and the Channel Islands,2023-08-14,85,0,104,0,22023,24317,22023
South and the Channel Islands,2023-08-21,86,0,95,0,22023,24412,22023
South and the Channel Islands,2023-08-28,87,0,86,0,22023,24498,22023
South and the Channel Islands,2023-09-04,88,0,77,0,22023,24575,22023
South and the Channel Islands,2023-09-11,89,0,68,0,22023,24643,22023
South and the Channel Islands,2023-09-18,90,0,58,0,22023,24701,22023
South and the Channel Islands,2023-09-25,91,0,48,0,22023,24749,22023
South and the Channel Islands,2023-10-02,92,0,38,0,22023,24787,22023
South and the Channel Islands,2023-10-09,93,0,28,0,22023,24815,22023
South East,2023-05-01,70,0,146,0,20193,20339,20193
South East,2023-05-08,71,0,151,0,20193,20490,20193
South East,2023-05-15,72,0,155,0,20193,20645,20193
South East,2023-05-22,73,0,157,0,20193,20802,20193
South East,2023-05-29,74,0,158,0,20193,20960,20193
South East,2023-06-05,75,0,157,0,20193,21117,20193
South East,2023-06-12,76,0,155,0,20193,21272,20193
South East,2023-06-19,77,0,153,0,20193,21425,20193
South East,2023-06-26,78,0,149,0,20193,21574,20193
South East,2023-07-03,79,0,145,0,20193,21719,20193
South East,2023-07-10,80,0,140,0,20193,21859,20193
South East,2023-07-17,81,0,134,0,20193,21993,20193
South East,2023-07-24,82,0,128,0,20193,22121,20193
South East,2023-07-31,83,0,122,0,20193,22243,20193
South East,2023-08-07,84,0,114,0,20193,22357,20193
South East,2023-08-14,85,0,107,0,20193,22464,20193
South East,2023-08-21,86,0,99,0,20193,22563,20193
South East,2023-08-28,87,0,91,0,20193,22654,20193
South East,2023-09-04,88,0,83,0,20193,22737,20193
South East,2023-09-11,89,0,74,0,20193,22811,20193
South East,2023-09-18,90,0,65,0,20193,22876,20193
South East,2023-09-25,91,0,56,0,20193,22932,20193
South East,2023-10-02,92,0,47,0,20193,22979,20193
South East,2023-10-09,93,0,37,0,20193,23016,20193
London,2023-05-01,70,57,236,0,17736,17915,17679
London,2023-05-08,71,54,259,0,17790,18174,17679
London,2023-05-15,72,48,279,0,17838,18453,17679
London,2023-05-22,73,40,296,0,17878,18749,17679
London,2023-05-29,74,30,311,0,17908,19060,17679
London,2023-06-05,75,19,324,0,17927,19384,17679
London,2023-06-12,76,6,335,0,17933,19719,17679
London,2023-06-19,77,0,344,0,17933,20063,17679
London,2023-06-26,78,0,351,0,17933,20414,17679
London,2023-07-03,79,0,357,0,17933,20771,17679
London,2023-07-10,80,0,361,0,17933,21132,17679
London,2023-07-17,81,0,364,0,17933,21496,17679
London,2023-07-24,82,0,366,0,17933,21862,17679
London,2023-07-31,83,0,367,0,17933,22229,17679
London,2023-08-07,84,0,367,0,17933,22596,17679
London,2023-08-14,85,0,367,0,17933,22963,17679
London,2023-08-21,86,0,365,0,17933,23328,17679
London,2023-08-28,87,0,363,0,17933,23691,17679
London,2023-09-04,88,0,360,0,17933,24051,17679
London,2023-09-11,89,0,356,0,17933,24407,17679
London,2023-09-18,90,0,352,0,17933,24759,17679
London,2023-09-25,91,0,348,0,17933,25107,17679
London,2023-10-02,92,0,343,0,17933,25450,17679
London,2023-10-09,93,0,338,0,17933,25788,17679
Northern Ireland and Isle of Man,2023-05-01,70,4,19,0,963,978,959
Northern Ireland and Isle of Man,2023-05-08,71,3,20,0,966,998,959
Northern Ireland and Isle of Man,2023-05-15,72,3,21,0,969,1019,959
Northern Ireland and Isle of Man,2023-05-22,73,2,21,0,971,1040,959
Northern Ireland and Isle of Man,2023-05-29,74,1,21,0,972,1061,959
Northern Ireland and Isle of Man,2023-06-05,75,1,22,0,973,1083,959
Northern Ireland and Isle of Man,2023-06-12,76,0,22,0,973,1105,959
Northern Ireland and Isle of Man,2023-06-19,77,0,22,0,973,1127,959
Northern Ireland and Isle of Man,2023-06-26,78,0,22,0,973,1149,959
Northern Ireland and Isle of Man,2023-07-03,79,0,22,0,973,1171,959
Northern Ireland and Isle of Man,2023-07-10,80,0,22,0,973,1193,959
Northern Ireland and Isle of Man,2023-07-17,81,0,22,0,973,1215,959
Northern Ireland and Isle of Man,2023-07-24,82,0,22,0,973,1237,959
Northern Ireland and Isle of Man,2023-07-31,83,0,22,0,973,1259,959
Northern Ireland and Isle of Man,2023-08-07,84,0,22,0,973,1281,959
Northern Ireland and Isle of Man,2023-08-14,85,0,22,0,973,1303,959
Northern Ireland and Isle of Man,2023-08-21,86,0,22,0,973,1325,959
Northern Ireland and Isle of Man,2023-08-28,87,0,22,0,973,1347,959
Northern Ireland and Isle of Man,2023-09-04,88,0,22,0,973,1369,959
Northern Ireland and Isle of Man,2023-09-11,89,0,21,0,973,1390,959
Northern Ireland and Isle of Man,2023-09-18,90,0,21,0,973,1411,959
Northern Ireland and Isle of Man,2023-09-25,91,0,21,0,973,1432,959
Northern Ireland and Isle of Man,2023-10-02,92,0,21,0,973,1453,959
Northern Ireland and Isle of Man,2023-10-09,93,0,21,0,973,1474,959
Scotland,2023-05-01,70,5,48,0,4662,4705,4657
Scotland,2023-05-08,71,3,51,0,4665,4756,4657
Scotland,2023-05-15,72,0,53,0,4665,4809,4657
Scotland,2023-05-22,73,0,55,0,4665,4864,4657
