Date,Week,Backlog of visa applications - Homes for Ukraine,Backlog of visa applications - Family Scheme,Backlog of visa applications - Super Sponsor,Backlog of visas issued - Homes for Ukraine,Backlog of visas issued - Family Scheme,Backlog of visas issued - Super Sponsor,Backlog of visas issued - Homes for Ukraine (upper bound),Backlog of visas issued - Family Scheme (upper bound),Backlog of visas issued - Super Sponsor (upper bound),Backlog of visas issued - Homes for Ukraine (lower bound),Backlog of visas issued - Family Scheme (lower bound),Backlog of visas issued - Super Sponsor (lower bound),Weekly applications - Homes for Ukraine,Weekly applications - Family Scheme,Arrival rate - Homes for Ukraine,Arrival rate - Family Scheme,Arrival rate - Super Sponsor,Arrival rate - Homes for Ukraine (upper bound),Arrival rate - Family Scheme (upper bound),Arrival rate - Super Sponsor (upper bound),Arrival rate - Homes for Ukraine (lower bound),Arrival rate - Family Scheme (lower bound),Arrival rate - Super Sponsor (lower bound),Weekly arrivals - Homes for Ukraine,Weekly arrivals - Family Scheme,Weekly arrivals - Super Sponsor,Weekly arrivals - Homes for Ukraine (upper bound),Weekly arrivals - Family Scheme (upper bound),Weekly arrivals - Super Sponsor (upper bound),Weekly arrivals - Homes for Ukraine (lower bound),Weekly arrivals - Family Scheme (lower bound),Weekly arrivals - Super Sponsor (lower bound),Weekly arrivals,Weekly arrivals (upper bound),Weekly arrivals (lower bound),Total arrivals,Total arrivals (upper bound),Total arrivals (lower bound)
2022-10-10,41,9935,9944,4800,19438,16689,16026,20284,16969,16305,18593,16410,15748,592,549,0.06913485565805771,0.026133779000184387,0.026133779000184387,0.11228247116824641,0.04371640641233274,0.04371640641233274,0.02598724014786901,0.008551151588036033,0.008551151588036033,1355,416,414,2200,695,692,509,136,135,2185,3587,780,138079,139481,136674
2022-10-17,42,9269,9325,4254,19223,17422,16191,20930,17985,16742,17444,16850,15631,463,511,0.06913485565805771,0.023786841927496978,0.023786841927496978,0.11228247116824641,0.04064486437493128,0.04064486437493128,0.02598724014786901,0.006928819480062669,0.006928819480062669,1344,397,381,2278,690,663,483,114,109,2122,3631,706,140201,143112,137380
2022-10-24,43,8548,8737,3770,18948,18108,16328,21531,18956,17143,16148,17234,15486,333,472,0.06913485565805771,0.02143990485480957,0.02143990485480957,0.11228247116824641,0.037573322337529844,0.037573322337529844,0.02598724014786901,0.005306487372089299,0.005306487372089299,1329,374,347,2350,676,629,453,89,83,2050,3655,625,142251,146767,138005
2022-10-31,44,7779,8178,3341,18610,18755,16445,22083,19886,17515,14702,17573,15324,203,434,0.06913485565805771,0.01909296778212216,0.01909296778212216,0.11228247116824641,0.03450178030012839,0.03450178030012839,0.02598724014786901,0.0036841552641159354,0.0036841552641159354,1310,346,312,2418,654,591,420,63,57,1968,3663,540,144219,150430,138545
2022-11-07,45,6968,7644,2961,18207,19371,16550,22585,20780,17863,13106,17878,15153,73,396,0.06913485565805771,0.016746030709434753,0.016746030709434753,0.11228247116824641,0.03143023826272694,0.03143023826272694,0.02598724014786901,0.002061823156142572,0.002061823156142572,1287,314,275,2480,625,551,382,36,32,1876,3656,450,146095,154086,138995
2022-11-14,46,6176,7132,2624,17740,19961,16649,23036,21641,18193,11362,18158,14983,0,357,0.06913485565805771,0.014399093636747346,0.014399093636747346,0.11228247116824641,0.028358696225325483,0.028358696225325483,0.02598724014786901,4.394910481692084e-4,4.394910481692084e-4,1259,279,238,2536,589,507,341,8,7,1776,3632,356,147871,157718,139351
2022-11-21,47,5474,6640,2326,17216,20531,16746,23443,22452,18491,9477,18422,14821,0,319,0.06913485565805771,0.012052156564059937,0.012052156564059937,0.11228247116824641,0.02528715418792403,0.02528715418792403,0.02598724014786901,0,0,1226,241,201,2587,547,460,295,0,0,1668,3594,295,149539,161312,139646
2022-11-28,48,4852,6166,2062,16648,21087,16847,23819,23207,18755,7467,18678,14674,0,281,0.06913485565805771,0.00970521949137253,0.00970521949137253,0.11228247116824641,0.022215612150522583,0.022215612150522583,0.02598724014786901,0,0,1190,199,163,2632,499,411,246,0,0,1552,3542,246,151091,164854,139892
2022-12-05,49,4300,5707,1828,16049,21633,16957,24177,23908,18989,5345,18935,14549,0,242,0.06913485565805771,0.007358282418685122,0.007358282418685122,0.11228247116824641,0.01914407011312113,0.01914407011312113,0.02598724014786901,0,0,1151,155,124,2674,444,359,194,0,0,1430,3477,194,152521,168331,140086
2022-12-12,50,3811,5262,1620,15428,22174,17080,24527,24557,19197,3119,19200,14452,0,204,0.06913485565805771,0.0050113453459977135,0.0050113453459977135,0.11228247116824641,0.01607252807571968,0.01607252807571968,0.02598724014786901,0,0,1110,108,85,2715,384,305,139,0,0,1303,3404,139,153824,171735,140225
2022-12-19,51,3378,4830,1436,14794,22713,17218,24879,25155,19381,798,19479,14386,0,166,0.06913485565805771,0.0026644082733103054,0.0026644082733103054,0.11228247116824641,0.013000986038318228,0.013000986038318228,0.02598724014786901,0,0,1067,59,46,2754,319,250,81,0,0,1172,3323,81,154996,175058,140306
2022-12-26,52,2994,4409,1273,14155,23255,17376,25242,25704,19544,384,19778,14357,0,128,0.06913485565805771,3.1747120062289736e-4,3.1747120062289736e-4,0.11228247116824641,0.009929444000916776,0.009929444000916776,0.02598724014786901,0,0,1023,7,5,2793,250,192,21,0,0,1035,3235,21,156031,178293,140327
2023-01-02,53,2654,3997,1128,13516,23756,17521,25572,26205,19689,340,20103,14368,0,89,0.06913485565805771,0,0,0.11228247116824641,0.006857901963515326,0.006857901963515326,0.02598724014786901,0,0,979,0,0,2834,176,134,10,0,0,979,3144,10,157010,181437,140337
2023-01-09,54,2352,3594,1000,12884,24210,17649,25865,26659,19817,302,20458,14421,0,51,0.06913485565805771,0,0,0.11228247116824641,0.0037863599261138744,0.0037863599261138744,0.02598724014786901,0,0,934,0,0,2871,99,75,9,0,0,934,3045,9,157944,184482,140346
2023-01-16,55,2085,3198,886,12260,24619,17763,26124,27068,19931,267,20848,14521,0,13,0.06913485565805771,0,0,0.11228247116824641,7.148178887124226e-4,7.148178887124226e-4,0.02598724014786901,0,0,891,0,0,2904,19,14,8,0,0,891,2937,8,158835,187419,140354
2023-01-23,56,1848,2834,785,11649,24983,17864,26354,27432,20032,237,21212,14622,0,0,0.06913485565805771,0,0,0.11228247116824641,0,0,0.02598724014786901,0,0,848,0,0,2933,0,0,7,0,0,848,2933,7,159683,190352,140361
2023-01-30,57,1638,2512,696,11054,25305,17953,26558,27754,20121,210,21534,14711,0,0,0.06913485565805771,0,0,0.11228247116824641,0,0,0.02598724014786901,0,0,805,0,0,2959,0,0,6,0,0,805,2959,6,160488,193311,140367
2023-02-06,58,1452,2226,617,10476,25591,18032,26739,28040,20200,186,21820,14790,0,0,0.06913485565805771,0,0,0.11228247116824641,0,0,0.02598724014786901,0,0,764,0,0,2982,0,0,5,0,0,764,2982,5,161252,196293,140372
2023-02-13,59,1287,1973,547,9917,25844,18102,26899,28293,20270,165,22073,14860,0,0,0.06913485565805771,0,0,0.11228247116824641,0,0,0.02598724014786901,0,0,724,0,0,3002,0,0,5,0,0,724,3002,5,161976,199295,140377
