Date,Week,Backlog of visa applications - Homes for Ukraine,Backlog of visa applications - Family Scheme,Backlog of visa applications - Super Sponsor,Backlog of visas issued - Homes for Ukraine,Backlog of visas issued - Family Scheme,Backlog of visas issued - Super Sponsor,Backlog of visas issued - Homes for Ukraine (upper bound),Backlog of visas issued - Family Scheme (upper bound),Backlog of visas issued - Super Sponsor (upper bound),Backlog of visas issued - Homes for Ukraine (lower bound),Backlog of visas issued - Family Scheme (lower bound),Backlog of visas issued - Super Sponsor (lower bound),Weekly applications - Homes for Ukraine,Weekly applications - Family Scheme,Arrival rate - Homes for Ukraine,Arrival rate - Family Scheme,Arrival rate - Super Sponsor,Arrival rate - Homes for Ukraine (upper bound),Arrival rate - Family Scheme (upper bound),Arrival rate - Super Sponsor (upper bound),Arrival rate - Homes for Ukraine (lower bound),Arrival rate - Family Scheme (lower bound),Arrival rate - Super Sponsor (lower bound),Weekly arrivals - Homes for Ukraine,Weekly arrivals - Family Scheme,Weekly arrivals - Super Sponsor,Weekly arrivals - Homes for Ukraine (upper bound),Weekly arrivals - Family Scheme (upper bound),Weekly arrivals - Super Sponsor (upper bound),Weekly arrivals - Homes for Ukraine (lower bound),Weekly arrivals - Family Scheme (lower bound),Weekly arrivals - Super Sponsor (lower bound),Weekly arrivals,Weekly arrivals (upper bound),Weekly arrivals (lower bound),Total arrivals,Total arrivals (upper bound),Total arrivals (lower bound)
2023-07-31,83,26306,28085,5750,24734,19340,14481,25250,19464,14587,24217,19217,14375,394,364,0.02830808256704981,0.008561729238023391,0.008561729238023391,0.05146683590891457,0.016174383745280508,0.016174383745280508,0.005149329225185049,9.49074730766275e-4,9.49074730766275e-4,631,139,119,1148,262,225,115,15,13,889,1635,143,182969,183715,182223
2023-08-07,84,23889,25467,5142,26816,22156,14974,27907,22424,15187,25699,21887,14758,365,352,0.02830808256704981,0.007974262284271038,0.007974262284271038,0.05146683590891457,0.01540266020635957,0.01540266020635957,0.005149329225185049,5.458643621825063e-4,5.458643621825063e-4,700,154,115,1300,300,225,125,10,8,969,1825,143,183938,185540,182366
2023-08-14,85,21699,23113,4598,28584,24685,15407,30302,25114,15729,26790,24252,15080,337,339,0.02830808256704981,0.007386795330518687,0.007386795330518687,0.05146683590891457,0.014630936667438636,0.014630936667438636,0.005149329225185049,1.4265399359873667e-4,1.4265399359873667e-4,759,164,111,1436,328,222,132,3,2,1034,1986,137,184972,187526,182503
2023-08-21,86,19712,20995,4112,30070,26961,15788,32459,27558,16215,27525,26348,15348,308,326,0.02830808256704981,0.006799328376766335,0.006799328376766335,0.05146683590891457,0.013859213128517702,0.013859213128517702,0.005149329225185049,0,0,809,168,105,1560,348,218,138,0,0,1082,2126,138,186054,189652,182641
2023-08-28,87,17907,19089,3677,31304,29014,16125,34402,29778,16650,27939,28207,15571,280,314,0.02830808256704981,0.006211861423013982,0.006211861423013982,0.05146683590891457,0.013087489589596765,0.013087489589596765,0.005149329225185049,0,0,851,167,98,1671,361,212,142,0,0,1116,2244,142,187170,191896,182783
2023-09-04,88,16264,17371,3288,32312,30870,16423,36152,31797,17039,28062,29859,15755,251,301,0.02830808256704981,0.005624394469261631,0.005624394469261631,0.05146683590891457,0.01231576605067583,0.01231576605067583,0.005149329225185049,0,0,886,163,91,1771,367,205,144,0,0,1140,2343,144,188310,194239,182927
2023-09-11,89,14767,15822,2940,33117,32552,16688,37727,33634,17387,27921,31329,15906,223,288,0.02830808256704981,0.0050369275155092786,0.0050369275155092786,0.05146683590891457,0.011544042511754896,0.011544042511754896,0.005149329225185049,0,0,915,155,83,1861,367,197,145,0,0,1153,2425,145,189463,196664,183072
2023-09-18,90,13400,14424,2629,33742,34080,16925,39145,35307,17698,27541,32640,16030,195,275,0.02830808256704981,0.004449460561756926,0.004449460561756926,0.05146683590891457,0.010772318972833959,0.010772318972833959,0.005149329225185049,0,0,937,145,74,1942,362,187,144,0,0,1156,2491,144,190619,199155,183216
2023-09-25,91,12149,13162,2351,34204,35473,17138,40420,36832,17976,26943,33812,16131,166,263,0.02830808256704981,0.003861993608004574,0.003861993608004574,0.05146683590891457,0.010000595433913025,0.010000595433913025,0.005149329225185049,0,0,955,132,65,2015,353,177,142,0,0,1152,2545,142,191771,201700,183358
2023-10-02,92,11002,12020,2102,34521,36749,17331,41566,38224,18225,26148,34864,16214,138,250,0.02830808256704981,0.003274526654252222,0.003274526654252222,0.05146683590891457,0.009228871894992089,0.009228871894992089,0.005149329225185049,0,0,968,116,56,2080,340,166,139,0,0,1140,2586,139,192911,204286,183497
2023-10-09,93,9947,10986,1880,34708,37921,17506,42595,39495,18447,25173,35812,16282,109,237,0.02830808256704981,0.0026870597004998702,0.0026870597004998702,0.05146683590891457,0.008457148356071153,0.008457148356071153,0.005149329225185049,0,0,977,99,47,2139,323,154,135,0,0,1123,2616,135,194034,206902,183632
2023-10-16,94,8976,10049,1681,34777,39003,17668,43517,40657,18646,24033,36670,16339,81,225,0.02830808256704981,0.002099592746747518,0.002099592746747518,0.05146683590891457,0.007685424817150217,0.007685424817150217,0.005149329225185049,0,0,983,80,37,2192,304,142,130,0,0,1100,2638,130,195134,209540,183762
2023-10-23,95,8079,9198,1503,34742,40007,17819,44342,41720,18824,22742,37452,16388,52,212,0.02830808256704981,0.0015121257929951659,0.0015121257929951659,0.05146683590891457,0.006913701278229282,0.006913701278229282,0.005149329225185049,0,0,984,59,27,2240,281,129,124,0,0,1070,2650,124,196204,212190,183886
2023-10-30,96,7249,8424,1344,34613,40943,17962,45079,42693,18983,21314,38169,16431,24,199,0.02830808256704981,9.246588392428138e-4,9.246588392428138e-4,0.05146683590891457,0.006141977739308347,0.006141977739308347,0.005149329225185049,0,0,983,37,16,2282,256,116,117,0,0,1036,2654,117,197240,214844,184003
2023-11-06,97,6482,7720,1202,34400,41820,18098,45736,43584,19125,19761,38831,16471,0,187,0.02830808256704981,3.371918854904617e-4,3.371918854904617e-4,0.05146683590891457,0.005370254200387411,0.005370254200387411,0.005149329225185049,0,0,980,14,6,2320,229,102,110,0,0,1000,2651,110,198240,217495,184113
2023-11-13,98,5796,7078,1075,34112,42636,18225,46320,44400,19252,18093,39447,16510,0,174,0.02830808256704981,0,0,0.05146683590891457,0.004598530661466475,0.004598530661466475,0.005149329225185049,0,0,974,0,0,2354,200,88,102,0,0,974,2642,102,199214,220137,184215
2023-11-20,99,5183,6490,961,33759,43385,18339,46840,45149,19366,16322,40026,16550,0,161,0.02830808256704981,0,0,0.05146683590891457,0.0038268071225455403,0.0038268071225455403,0.005149329225185049,0,0,966,0,0,2384,170,74,93,0,0,966,2628,93,200180,222765,184308
2023-11-27,100,4635,5952,859,33351,44071,18441,47304,45835,19468,14459,40574,16593,0,148,0.02830808256704981,0,0,0.05146683590891457,0.003055083583624605,0.003055083583624605,0.005149329225185049,0,0,956,0,0,2411,138,59,84,0,0,956,2608,84,201136,225373,184392
2023-12-04,101,4145,5459,768,32897,44700,18532,47720,46464,19559,12514,41098,16640,0,136,0.02830808256704981,0,0,0.05146683590891457,0.0022833600447036695,0.0022833600447036695,0.005149329225185049,0,0,944,0,0,2435,105,44,74,0,0,944,2584,74,202080,227957,184466
2023-12-11,102,3707,5005,687,32404,45277,18613,48094,47041,19640,10496,41605,16691,0,123,0.02830808256704981,0,0,0.05146683590891457,0.0015116365057827345,0.0015116365057827345,0.005149329225185049,0,0,931,0,0,2456,70,30,64,0,0,931,2556,64,203011,230513,184530
2023-12-18,103,3315,4586,614,31879,45806,18686,48432,47570,19713,8413,42099,16749,0,110,0.02830808256704981,0,0,0.05146683590891457,7.399129668617978e-4,7.399129668617978e-4,0.005149329225185049,0,0,917,0,0,2475,35,15,54,0,0,917,2525,54,203928,233038,184584
2023-12-25,104,2964,4199,549,31328,46291,18751,48740,48055,19778,6271,42584,16814,0,98,0.02830808256704981,0,0,0.05146683590891457,0,0,0.005149329225185049,0,0,902,0,0,2493,0,0,43,0,0,902,2493,43,204830,235531,184627
2024-01-01,105,2651,3840,491,30754,46735,18809,49021,48499,19836,4076,43028,16872,0,85,0.02830808256704981,0,0,0.05146683590891457,0,0,0.005149329225185049,0,0,887,0,0,2508,0,0,32,0,0,887,2508,32,205717,238039,184659
2024-01-08,106,2371,3506,439,30163,47141,18861,49280,48905,19888,1833,43434,16924,0,72,0.02830808256704981,0,0,0.05146683590891457,0,0,0.005149329225185049,0,0,871,0,0,2523,0,0,21,0,0,871,2523,21,206588,240562,184680
