Date,Week,Backlog of visa applications - Homes for Ukraine,Backlog of visa applications - Family Scheme,Backlog of visa applications - Super Sponsor,Backlog of visas issued - Homes for Ukraine,Backlog of visas issued - Family Scheme,Backlog of visas issued - Super Sponsor,Backlog of visas issued - Homes for Ukraine (upper bound),Backlog of visas issued - Family Scheme (upper bound),Backlog of visas issued - Super Sponsor (upper bound),Backlog of visas issued - Homes for Ukraine (lower bound),Backlog of visas issued - Family Scheme (lower bound),Backlog of visas issued - Super Sponsor (lower bound),Weekly applications - Homes for Ukraine,Weekly applications - Family Scheme,Arrival rate - Homes for Ukraine,Arrival rate - Family Scheme,Arrival rate - Super Sponsor,Arrival rate - Homes for Ukraine (upper bound),Arrival rate - Family Scheme (upper bound),Arrival rate - Super Sponsor (upper bound),Arrival rate - Homes for Ukraine (lower bound),Arrival rate - Family Scheme (lower bound),Arrival rate - Super Sponsor (lower bound),Weekly arrivals - Homes for Ukraine,Weekly arrivals - Family Scheme,Weekly arrivals - Super Sponsor,Weekly arrivals - Homes for Ukraine (upper bound),Weekly arrivals - Family Scheme (upper bound),Weekly arrivals - Super Sponsor (upper bound),Weekly arrivals - Homes for Ukraine (lower bound),Weekly arrivals - Family Scheme (lower bound),Weekly arrivals - Super Sponsor (lower bound),Weekly arrivals,Weekly arrivals (upper bound),Weekly arrivals (lower bound),Total arrivals,Total arrivals (upper bound),Total arrivals (lower bound)
2023-07-31,83,29768,27768,5138,24847,20838,14139,25732,21097,14372,23949,20575,13904,6733,2894,0.1131534713489284,0.07342143384567106,0.067614161003903,0.12665835520065344,0.07996431646778888,0.07577434757448466,0.09964858749720337,0.06687855122355323,0.05945397443332133,2821,1417,981,3221,1554,1108,2435,1283,856,5219,5883,4574,187531,188927,186154
2023-08-07,84,28579,27138,4593,25192,22253,13728,26503,22666,14090,23847,21833,13360,1968,2315,0.1131534713489284,0.07342143384567106,0.067614161003903,0.12665835520065344,0.07996431646778888,0.07577434757448466,0.09964858749720337,0.06687855122355323,0.05945397443332133,2812,1530,956,3259,1687,1089,2386,1376,827,5298,6035,4589,192829,194962,190743
2023-08-14,85,27409,25996,4106,25372,23497,13287,27158,24084,13783,23521,22899,12779,1861,1736,0.1131534713489284,0.07342143384567106,0.067614161003903,0.12665835520065344,0.07996431646778888,0.07577434757448466,0.09964858749720337,0.06687855122355323,0.05945397443332133,2851,1634,928,3357,1812,1068,2376,1460,794,5413,6237,4630,198242,201199,195373
2023-08-21,86,26548,24644,3671,25408,24529,12824,27721,25310,13458,22988,23730,12170,2046,1405,0.1131534713489284,0.07342143384567106,0.067614161003903,0.12665835520065344,0.07996431646778888,0.07577434757448466,0.09964858749720337,0.06687855122355323,0.05945397443332133,2871,1725,898,3440,1926,1044,2344,1531,760,5494,6410,4635,203736,207609,200008
2023-08-28,87,25155,23106,3282,25348,25341,12346,28245,26336,13123,22292,24319,11539,1422,1075,0.1131534713489284,0.07342143384567106,0.067614161003903,0.12665835520065344,0.07996431646778888,0.07577434757448466,0.09964858749720337,0.06687855122355323,0.05945397443332133,2875,1801,867,3511,2024,1020,2291,1587,724,5543,6555,4602,209279,214164,204610
2023-09-04,88,23876,21731,2934,25148,25930,11859,28692,27160,12785,21383,24663,10893,1389,1075,0.1131534713489284,0.07342143384567106,0.067614161003903,0.12665835520065344,0.07996431646778888,0.07577434757448466,0.09964858749720337,0.06687855122355323,0.05945397443332133,2868,1861,835,3577,2106,994,2221,1626,686,5564,6677,4533,214843,220841,209143
