Date,Week,Backlog of visa applications - Homes for Ukraine,Backlog of visa applications - Family Scheme,Backlog of visa applications - Super Sponsor,Backlog of visas issued - Homes for Ukraine,Backlog of visas issued - Family Scheme,Backlog of visas issued - Super Sponsor,Backlog of visas issued - Homes for Ukraine (upper bound),Backlog of visas issued - Family Scheme (upper bound),Backlog of visas issued - Super Sponsor (upper bound),Backlog of visas issued - Homes for Ukraine (lower bound),Backlog of visas issued - Family Scheme (lower bound),Backlog of visas issued - Super Sponsor (lower bound),Weekly applications - Homes for Ukraine,Weekly applications - Family Scheme,Arrival rate - Homes for Ukraine,Arrival rate - Family Scheme,Arrival rate - Super Sponsor,Arrival rate - Homes for Ukraine (upper bound),Arrival rate - Family Scheme (upper bound),Arrival rate - Super Sponsor (upper bound),Arrival rate - Homes for Ukraine (lower bound),Arrival rate - Family Scheme (lower bound),Arrival rate - Super Sponsor (lower bound),Weekly arrivals - Homes for Ukraine,Weekly arrivals - Family Scheme,Weekly arrivals - Super Sponsor,Weekly arrivals - Homes for Ukraine (upper bound),Weekly arrivals - Family Scheme (upper bound),Weekly arrivals - Super Sponsor (upper bound),Weekly arrivals - Homes for Ukraine (lower bound),Weekly arrivals - Family Scheme (lower bound),Weekly arrivals - Super Sponsor (lower bound),Weekly arrivals,Weekly arrivals (upper bound),Weekly arrivals (lower bound),Total arrivals,Total arrivals (upper bound),Total arrivals (lower bound)
2022-08-22,34,9515,7583,5790,21362,16514,20841,22455,16828,21245,20270,16201,20436,1235,543,0.07933625436168117,0.03985767706180399,0.03985767706180399,0.12902961288518675,0.059222076838611415,0.059222076838611415,0.029642895838175594,0.020493277284996562,0.020493277284996562,1744,646,832,2836,959,1237,651,332,428,3222,5032,1411,119763,121573,117952
2022-08-29,35,9444,7156,5095,20809,16811,20763,22996,17457,21586,18515,16154,19923,1071,483,0.07933625436168117,0.0370919467956408,0.0370919467956408,0.12902961288518675,0.05685252523380925,0.05685252523380925,0.029642895838175594,0.017331368357472347,0.017331368357472347,1695,613,773,2897,957,1208,601,281,354,3081,5062,1236,122844,126635,119188
2022-09-05,36,9217,6720,4483,20292,17093,20662,23581,18087,21916,16682,16062,19359,907,423,0.07933625436168117,0.03432621652947761,0.03432621652947761,0.12902961288518675,0.05448297362900708,0.05448297362900708,0.029642895838175594,0.014169459429948135,0.014169459429948135,1651,577,713,2967,951,1176,549,229,282,2941,5094,1060,125785,131729,120248
2022-09-12,37,8853,6276,3945,19788,17361,20548,24192,18717,22241,14745,15926,18755,742,363,0.07933625436168117,0.03156048626331441,0.03156048626331441,0.12902961288518675,0.05211342202420491,0.05211342202420491,0.029642895838175594,0.01100755050242391,0.01100755050242391,1610,539,652,3043,943,1142,495,177,213,2801,5128,885,128586,136857,121133
2022-09-19,38,8368,5826,3471,19281,17614,20430,24818,19345,22568,12687,15748,18123,578,303,0.07933625436168117,0.02879475599715122,0.02879475599715122,0.12902961288518675,0.049743870419402744,0.049743870419402744,0.029642895838175594,0.007845641574899698,0.007845641574899698,1570,500,592,3121,931,1106,437,125,147,2662,5158,709,131248,142015,121842
2022-09-26,39,7778,5370,3054,18755,17855,20315,25446,19970,22900,10489,15531,17471,414,243,0.07933625436168117,0.02602902573098803,0.02602902573098803,0.12902961288518675,0.04737431881460058,0.04737431881460058,0.029642895838175594,0.004683732647375486,0.004683732647375486,1530,458,532,3202,916,1069,376,74,85,2520,5187,535,133768,147202,122377
2022-10-03,40,7093,4908,2687,18201,18085,20209,26069,20591,23240,8140,15277,16807,249,183,0.07933625436168117,0.02326329546482484,0.02326329546482484,0.12902961288518675,0.045004767209798416,0.045004767209798416,0.029642895838175594,0.0015218237198512709,0.0015218237198512709,1488,415,473,3283,899,1031,311,24,27,2376,5213,362,136144,152415,122739
2022-10-10,41,6327,4442,2364,17608,18303,20118,26679,21180,23563,5627,14988,16139,85,123,0.07933625436168117,0.020497565198661652,0.020497565198661652,0.12902961288518675,0.04263521560499625,0.04263521560499625,0.029642895838175594,0,0,1444,371,414,3364,878,991,241,0,0,2229,5233,241,138373,157648,122980
2022-10-17,42,5568,3972,2080,16970,18511,20045,27271,21713,23847,2944,14668,15474,0,63,0.07933625436168117,0.017731834932498462,0.017731834932498462,0.12902961288518675,0.04026566400019408,0.04026566400019408,0.029642895838175594,0,0,1397,325,357,3442,853,949,167,0,0,2079,5244,167,140452,162892,123147
2022-10-24,43,4900,3498,1830,16292,18711,19995,27852,22190,24097,668,14322,14820,0,3,0.07933625436168117,0.014966104666335273,0.014966104666335273,0.12902961288518675,0.03789611239539191,0.03789611239539191,0.029642895838175594,0,0,1346,277,300,3519,823,904,87,0,0,1923,5246,87,142375,168138,123234
