Date,Week,Backlog of visa applications - Homes for Ukraine,Backlog of visa applications - Family Scheme,Backlog of visa applications - Super Sponsor,Backlog of visas issued - Homes for Ukraine,Backlog of visas issued - Family Scheme,Backlog of visas issued - Super Sponsor,Backlog of visas issued - Homes for Ukraine (upper bound),Backlog of visas issued - Family Scheme (upper bound),Backlog of visas issued - Super Sponsor (upper bound),Backlog of visas issued - Homes for Ukraine (lower bound),Backlog of visas issued - Family Scheme (lower bound),Backlog of visas issued - Super Sponsor (lower bound),Weekly applications - Homes for Ukraine,Weekly applications - Family Scheme,Arrival rate - Homes for Ukraine,Arrival rate - Family Scheme,Arrival rate - Super Sponsor,Arrival rate - Homes for Ukraine (upper bound),Arrival rate - Family Scheme (upper bound),Arrival rate - Super Sponsor (upper bound),Arrival rate - Homes for Ukraine (lower bound),Arrival rate - Family Scheme (lower bound),Arrival rate - Super Sponsor (lower bound),Weekly arrivals - Homes for Ukraine,Weekly arrivals - Family Scheme,Weekly arrivals - Super Sponsor,Weekly arrivals - Homes for Ukraine (upper bound),Weekly arrivals - Family Scheme (upper bound),Weekly arrivals - Super Sponsor (upper bound),Weekly arrivals - Homes for Ukraine (lower bound),Weekly arrivals - Family Scheme (lower bound),Weekly arrivals - Super Sponsor (lower bound),Weekly arrivals,Weekly arrivals (upper bound),Weekly arrivals (lower bound),Total arrivals,Total arrivals (upper bound),Total arrivals (lower bound)
2023-04-24,69,26808,24138,5112,23235,20971,14490,24228,21230,14712,22226,20709,14267,6840,3014,0.1275058999099379,0.07783728138717673,0.07712222165586409,0.1424424132968422,0.08545144817152156,0.08584774639171555,0.11256938652303361,0.0702231146028319,0.06839669692001263,3034,1549,1158,3471,1709,1296,2614,1391,1021,5741,6476,5026,177458,178952,175984
2023-05-01,70,25853,23889,4549,23226,21999,13935,24680,22436,14299,21729,21555,13567,1999,2411,0.1275058999099379,0.07783728138717673,0.07712222165586409,0.1424424132968422,0.08545144817152156,0.08584774639171555,0.11256938652303361,0.0702231146028319,0.06839669692001263,2963,1632,1118,3451,1814,1263,2502,1454,976,5713,6528,4932,183171,185480,180916
2023-05-08,71,24895,23065,4048,23114,22919,13361,25083,23554,13872,21063,22270,12840,1891,1808,0.1275058999099379,0.07783728138717673,0.07712222165586409,0.1424424132968422,0.08545144817152156,0.08584774639171555,0.11256938652303361,0.0702231146028319,0.06839669692001263,2961,1712,1075,3515,1917,1228,2446,1514,928,5748,6660,4888,188919,192140,185804
2023-05-15,72,24230,21988,3602,22910,23676,12777,25455,24531,13440,20233,22798,12095,2078,1464,0.1275058999099379,0.07783728138717673,0.07712222165586409,0.1424424132968422,0.08545144817152156,0.08584774639171555,0.11256938652303361,0.0702231146028319,0.06839669692001263,2947,1784,1030,3573,2013,1191,2371,1564,878,5761,6777,4813,194680,198917,190617
2023-05-22,73,23005,20684,3205,22659,24256,12189,25847,25353,13010,19277,23125,11338,1445,1119,0.1275058999099379,0.07783728138717673,0.07712222165586409,0.1424424132968422,0.08545144817152156,0.08584774639171555,0.11256938652303361,0.0702231146028319,0.06839669692001263,2921,1843,985,3626,2096,1154,2278,1601,827,5749,6876,4706,200429,205793,195323
2023-05-29,74,21881,19524,2852,22305,24647,11602,26212,26008,12588,18130,23238,10574,1411,1119,0.1275058999099379,0.07783728138717673,0.07712222165586409,0.1424424132968422,0.08545144817152156,0.08584774639171555,0.11256938652303361,0.0702231146028319,0.06839669692001263,2889,1888,940,3682,2166,1117,2170,1624,775,5717,6965,4569,206146,212758,199892
