Date,Week,Backlog of visa applications - Homes for Ukraine,Backlog of visa applications - Family Scheme,Backlog of visa applications - Super Sponsor,Backlog of visas issued - Homes for Ukraine,Backlog of visas issued - Family Scheme,Backlog of visas issued - Super Sponsor,Backlog of visas issued - Homes for Ukraine (upper bound),Backlog of visas issued - Family Scheme (upper bound),Backlog of visas issued - Super Sponsor (upper bound),Backlog of visas issued - Homes for Ukraine (lower bound),Backlog of visas issued - Family Scheme (lower bound),Backlog of visas issued - Super Sponsor (lower bound),Weekly applications - Homes for Ukraine,Weekly applications - Family Scheme,Arrival rate - Homes for Ukraine,Arrival rate - Family Scheme,Arrival rate - Super Sponsor,Arrival rate - Homes for Ukraine (upper bound),Arrival rate - Family Scheme (upper bound),Arrival rate - Super Sponsor (upper bound),Arrival rate - Homes for Ukraine (lower bound),Arrival rate - Family Scheme (lower bound),Arrival rate - Super Sponsor (lower bound),Weekly arrivals - Homes for Ukraine,Weekly arrivals - Family Scheme,Weekly arrivals - Super Sponsor,Weekly arrivals - Homes for Ukraine (upper bound),Weekly arrivals - Family Scheme (upper bound),Weekly arrivals - Super Sponsor (upper bound),Weekly arrivals - Homes for Ukraine (lower bound),Weekly arrivals - Family Scheme (lower bound),Weekly arrivals - Super Sponsor (lower bound),Weekly arrivals,Weekly arrivals (upper bound),Weekly arrivals (lower bound),Total arrivals,Total arrivals (upper bound),Total arrivals (lower bound)
2022-12-26,52,10266,8251,1477,13177,20454,15204,24112,23277,17626,383,17208,12404,7144,3296,0.15779576605801804,0.0938094237321054,0.08408224739753764,0.17844075454566674,0.10489966543364021,0.0980095758168198,0.13715077757036934,0.08271918203057058,0.07015491897825549,2397,2055,1379,4311,2544,1806,429,1584,984,5831,8661,2997,162144,182166,145964
2023-01-02,53,11233,9987,1316,12219,19436,14087,25180,22755,16917,1121,15667,10837,2088,2637,0.15779576605801804,0.0938094237321054,0.08408224739753764,0.17844075454566674,0.10489966543364021,0.0980095758168198,0.13715077757036934,0.08271918203057058,0.07015491897825549,2079,1919,1278,4303,2442,1728,53,1423,870,5276,8473,2346,167420,190639,148310
2023-01-09,54,11981,10874,1172,11518,18704,13047,26253,22550,16301,1227,14371,9323,1975,1978,0.15779576605801804,0.0938094237321054,0.08408224739753764,0.17844075454566674,0.10489966543364021,0.0980095758168198,0.13715077757036934,0.08271918203057058,0.07015491897825549,1928,1823,1184,4493,2387,1658,154,1296,760,4935,8538,2210,172355,199177,150520
2023-01-16,55,12843,11288,1044,11009,18136,12078,27393,22548,15775,1308,13193,7853,2170,1601,0.15779576605801804,0.0938094237321054,0.08408224739753764,0.17844075454566674,0.10489966543364021,0.0980095758168198,0.13715077757036934,0.08271918203057058,0.07015491897825549,1817,1755,1097,4685,2365,1598,168,1189,654,4669,8648,2011,177024,207825,152531
2023-01-23,56,12949,11279,930,10675,17668,11176,28617,22690,15338,1403,12061,6421,1509,1224,0.15779576605801804,0.0938094237321054,0.08408224739753764,0.17844075454566674,0.10489966543364021,0.0980095758168198,0.13715077757036934,0.08271918203057058,0.07015491897825549,1737,1701,1016,4888,2365,1546,179,1091,551,4454,8799,1821,181478,216624,154352
2023-01-30,57,13009,11271,828,10405,17243,10338,29839,22924,14990,1414,10913,5020,1474,1224,0.15779576605801804,0.0938094237321054,0.08408224739753764,0.17844075454566674,0.10489966543364021,0.0980095758168198,0.13715077757036934,0.08271918203057058,0.07015491897825549,1684,1657,940,5106,2380,1503,192,998,450,4281,8989,1640,185759,225613,155992
