Region,Date,Week,Weekly arrivals,Weekly arrivals (upper bound),Weekly arrivals (lower bound),Total arrivals,Total arrivals (upper bound),Total arrivals (lower bound)
North,2022-09-12,37,177,294,59,11532,11649,11414
North,2022-09-19,38,156,296,25,11688,11945,11439
North,2022-09-26,39,135,298,0,11823,12243,11439
North,2022-10-03,40,114,300,0,11937,12543,11439
North,2022-10-10,41,92,301,0,12029,12844,11439
North,2022-10-17,42,70,299,0,12099,13143,11439
North,2022-10-24,43,46,294,0,12145,13437,11439
North,2022-10-31,44,22,288,0,12167,13725,11439
North,2022-11-07,45,0,280,0,12167,14005,11439
North,2022-11-14,46,0,270,0,12167,14275,11439
North,2022-11-21,47,0,258,0,12167,14533,11439
North,2022-11-28,48,0,246,0,12167,14779,11439
North,2022-12-05,49,0,232,0,12167,15011,11439
North,2022-12-12,50,0,218,0,12167,15229,11439
North,2022-12-19,51,0,203,0,12167,15432,11439
North,2022-12-26,52,0,187,0,12167,15619,11439
North,2023-01-02,53,0,171,0,12167,15790,11439
North,2023-01-09,54,0,155,0,12167,15945,11439
North,2023-01-16,55,0,138,0,12167,16083,11439
North,2023-01-23,56,0,121,0,12167,16204,11439
North,2023-01-30,57,0,104,0,12167,16308,11439
North,2023-02-06,58,0,87,0,12167,16395,11439
North,2023-02-13,59,0,69,0,12167,16464,11439
North,2023-02-20,60,0,51,0,12167,16515,11439
Central,2022-09-12,37,225,351,99,16699,16825,16573
Central,2022-09-19,38,192,339,52,16891,17164,16625
Central,2022-09-26,39,159,328,6,17050,17492,16631
Central,2022-10-03,40,125,318,0,17175,17810,16631
Central,2022-10-10,41,90,304,0,17265,18114,16631
Central,2022-10-17,42,54,287,0,17319,18401,16631
Central,2022-10-24,43,15,268,0,17334,18669,16631
Central,2022-10-31,44,0,245,0,17334,18914,16631
Central,2022-11-07,45,0,219,0,17334,19133,16631
Central,2022-11-14,46,0,192,0,17334,19325,16631
Central,2022-11-21,47,0,162,0,17334,19487,16631
Central,2022-11-28,48,0,131,0,17334,19618,16631
Central,2022-12-05,49,0,99,0,17334,19717,16631
Central,2022-12-12,50,0,65,0,17334,19782,16631
Central,2022-12-19,51,0,31,0,17334,19813,16631
Central,2022-12-26,52,0,0,0,17334,19813,16631
Central,2023-01-02,53,0,0,0,17334,19813,16631
Central,2023-01-09,54,0,0,0,17334,19813,16631
Central,2023-01-16,55,0,0,0,17334,19813,16631
Central,2023-01-23,56,0,0,0,17334,19813,16631
Central,2023-01-30,57,0,0,0,17334,19813,16631
Central,2023-02-06,58,0,0,0,17334,19813,16631
Central,2023-02-13,59,0,0,0,17334,19813,16631
Central,2023-02-20,60,0,0,0,17334,19813,16631
South and the Channel Islands,2022-09-12,37,214,366,61,17509,17661,17356
South and the Channel Islands,2022-09-19,38,179,358,11,17688,18019,17367
South and the Channel Islands,2022-09-26,39,144,350,0,17832,18369,17367
South and the Channel Islands,2022-10-03,40,109,340,0,17941,18709,17367
South and the Channel Islands,2022-10-10,41,73,327,0,18014,19036,17367
South and the Channel Islands,2022-10-17,42,35,311,0,18049,19347,17367
South and the Channel Islands,2022-10-24,43,0,291,0,18049,19638,17367
South and the Channel Islands,2022-10-31,44,0,270,0,18049,19908,17367
South and the Channel Islands,2022-11-07,45,0,246,0,18049,20154,17367
South and the Channel Islands,2022-11-14,46,0,221,0,18049,20375,17367
South and the Channel Islands,2022-11-21,47,0,195,0,18049,20570,17367
South and the Channel Islands,2022-11-28,48,0,167,0,18049,20737,17367
South and the Channel Islands,2022-12-05,49,0,138,0,18049,20875,17367
South and the Channel Islands,2022-12-12,50,0,109,0,18049,20984,17367
South and the Channel Islands,2022-12-19,51,0,79,0,18049,21063,17367
South and the Channel Islands,2022-12-26,52,0,49,0,18049,21112,17367
South and the Channel Islands,2023-01-02,53,0,18,0,18049,21130,17367
South and the Channel Islands,2023-01-09,54,0,0,0,18049,21130,17367
South and the Channel Islands,2023-01-16,55,0,0,0,18049,21130,17367
South and the Channel Islands,2023-01-23,56,0,0,0,18049,21130,17367
South and the Channel Islands,2023-01-30,57,0,0,0,18049,21130,17367
South and the Channel Islands,2023-02-06,58,0,0,0,18049,21130,17367
South and the Channel Islands,2023-02-13,59,0,0,0,18049,21130,17367
South and the Channel Islands,2023-02-20,60,0,0,0,18049,21130,17367
South East,2022-09-12,37,201,308,93,16288,16395,16180
South East,2022-09-19,38,172,297,53,16460,16692,16233
South East,2022-09-26,39,144,287,15,16604,16979,16248
South East,2022-10-03,40,115,277,0,16719,17256,16248
South East,2022-10-10,41,87,264,0,16806,17520,16248
South East,2022-10-17,42,57,250,0,16863,17770,16248
South East,2022-10-24,43,27,233,0,16890,18003,16248
South East,2022-10-31,44,0,214,0,16890,18217,16248
South East,2022-11-07,45,0,194,0,16890,18411,16248
South East,2022-11-14,46,0,172,0,16890,18583,16248
South East,2022-11-21,47,0,150,0,16890,18733,16248
South East,2022-11-28,48,0,127,0,16890,18860,16248
South East,2022-12-05,49,0,103,0,16890,18963,16248
South East,2022-12-12,50,0,78,0,16890,19041,16248
South East,2022-12-19,51,0,53,0,16890,19094,16248
South East,2022-12-26,52,0,28,0,16890,19122,16248
South East,2023-01-02,53,0,2,0,16890,19124,16248
South East,2023-01-09,54,0,0,0,16890,19124,16248
South East,2023-01-16,55,0,0,0,16890,19124,16248
South East,2023-01-23,56,0,0,0,16890,19124,16248
South East,2023-01-30,57,0,0,0,16890,19124,16248
South East,2023-02-06,58,0,0,0,16890,19124,16248
South East,2023-02-13,59,0,0,0,16890,19124,16248
South East,2023-02-20,60,0,0,0,16890,19124,16248
London,2022-09-12,37,215,310,120,11889,11984,11794
London,2022-09-19,38,195,307,88,12084,12291,11882
London,2022-09-26,39,176,305,57,12260,12596,11939
London,2022-10-03,40,156,304,26,12416,12900,11965
London,2022-10-10,41,135,303,0,12551,13203,11965
London,2022-10-17,42,114,302,0,12665,13505,11965
London,2022-10-24,43,91,299,0,12756,13804,11965
London,2022-10-31,44,67,294,0,12823,14098,11965
London,2022-11-07,45,41,287,0,12864,14385,11965
London,2022-11-14,46,12,278,0,12876,14663,11965
London,2022-11-21,47,0,268,0,12876,14931,11965
London,2022-11-28,48,0,255,0,12876,15186,11965
London,2022-12-05,49,0,240,0,12876,15426,11965
London,2022-12-12,50,0,224,0,12876,15650,11965
London,2022-12-19,51,0,206,0,12876,15856,11965
London,2022-12-26,52,0,186,0,12876,16042,11965
London,2023-01-02,53,0,165,0,12876,16207,11965
London,2023-01-09,54,0,142,0,12876,16349,11965
London,2023-01-16,55,0,117,0,12876,16466,11965
London,2023-01-23,56,0,92,0,12876,16558,11965
London,2023-01-30,57,0,65,0,12876,16623,11965
London,2023-02-06,58,0,37,0,12876,16660,11965
London,2023-02-13,59,0,7,0,12876,16667,11965
London,2023-02-20,60,0,0,0,12876,16667,11965
Northern Ireland and Isle of Man,2022-09-12,37,21,40,2,561,580,542
Northern Ireland and Isle of Man,2022-09-19,38,20,42,0,581,622,542
Northern Ireland and Isle of Man,2022-09-26,39,19,44,0,600,666,542
Northern Ireland and Isle of Man,2022-10-03,40,19,47,0,619,713,542
Northern Ireland and Isle of Man,2022-10-10,41,18,49,0,637,762,542
Northern Ireland and Isle of Man,2022-10-17,42,17,52,0,654,814,542
Northern Ireland and Isle of Man,2022-10-24,43,16,54,0,670,868,542
Northern Ireland and Isle of Man,2022-10-31,44,15,57,0,685,925,542
Northern Ireland and Isle of Man,2022-11-07,45,14,59,0,699,984,542
Northern Ireland and Isle of Man,2022-11-14,46,13,62,0,712,1046,542
Northern Ireland and Isle of Man,2022-11-21,47,12,64,0,724,1110,542
Northern Ireland and Isle of Man,2022-11-28,48,10,67,0,734,1177,542
Northern Ireland and Isle of Man,2022-12-05,49,9,70,0,743,1247,542
Northern Ireland and Isle of Man,2022-12-12,50,8,72,0,751,1319,542
Northern Ireland and Isle of Man,2022-12-19,51,6,75,0,757,1394,542
Northern Ireland and Isle of Man,2022-12-26,52,5,77,0,762,1471,542
Northern Ireland and Isle of Man,2023-01-02,53,4,80,0,766,1551,542
Northern Ireland and Isle of Man,2023-01-09,54,2,82,0,768,1633,542
Northern Ireland and Isle of Man,2023-01-16,55,0,85,0,768,1718,542
Northern Ireland and Isle of Man,2023-01-23,56,0,87,0,768,1805,542
Northern Ireland and Isle of Man,2023-01-30,57,0,90,0,768,1895,542
Northern Ireland and Isle of Man,2023-02-06,58,0,92,0,768,1987,542
Northern Ireland and Isle of Man,2023-02-13,59,0,95,0,768,2082,542
Northern Ireland and Isle of Man,2023-02-20,60,0,97,0,768,2179,542
Scotland,2022-09-12,37,57,88,25,3501,3532,3469
Scotland,2022-09-19,38,51,88,16,3552,3620,3485
Scotland,2022-09-26,39,45,88,8,3597,3708,3493
Scotland,2022-10-03,40,40,88,0,3637,3796,3493
Scotland,2022-10-10,41,34,88,0,3671,3884,3493
Scotland,2022-10-17,42,29,88,0,3700,3972,3493
Scotland,2022-10-24,43,23,88,0,3723,4060,3493
Scotland,2022-10-31,44,17,87,0,3740,4147,3493
Scotland,2022-11-07,45,11,85,0,3751,4232,3493
Scotland,2022-11-14,46,5,83,0,3756,4315,3493
Scotland,2022-11-21,47,0,81,0,3756,4396,3493
Scotland,2022-11-28,48,0,78,0,3756,4474,3493
Scotland,2022-12-05,49,0,75,0,3756,4549,3493
Scotland,2022-12-12,50,0,72,0,3756,4621,3493
