Date,Week,Backlog of visa applications - Homes for Ukraine,Backlog of visa applications - Family Scheme,Backlog of visa applications - Super Sponsor,Backlog of visas issued - Homes for Ukraine,Backlog of visas issued - Family Scheme,Backlog of visas issued - Super Sponsor,Backlog of visas issued - Homes for Ukraine (upper bound),Backlog of visas issued - Family Scheme (upper bound),Backlog of visas issued - Super Sponsor (upper bound),Backlog of visas issued - Homes for Ukraine (lower bound),Backlog of visas issued - Family Scheme (lower bound),Backlog of visas issued - Super Sponsor (lower bound),Weekly applications - Homes for Ukraine,Weekly applications - Family Scheme,Arrival rate - Homes for Ukraine,Arrival rate - Family Scheme,Arrival rate - Super Sponsor,Arrival rate - Homes for Ukraine (upper bound),Arrival rate - Family Scheme (upper bound),Arrival rate - Super Sponsor (upper bound),Arrival rate - Homes for Ukraine (lower bound),Arrival rate - Family Scheme (lower bound),Arrival rate - Super Sponsor (lower bound),Weekly arrivals - Homes for Ukraine,Weekly arrivals - Family Scheme,Weekly arrivals - Super Sponsor,Weekly arrivals - Homes for Ukraine (upper bound),Weekly arrivals - Family Scheme (upper bound),Weekly arrivals - Super Sponsor (upper bound),Weekly arrivals - Homes for Ukraine (lower bound),Weekly arrivals - Family Scheme (lower bound),Weekly arrivals - Super Sponsor (lower bound),Weekly arrivals,Weekly arrivals (upper bound),Weekly arrivals (lower bound),Total arrivals,Total arrivals (upper bound),Total arrivals (lower bound)
2022-09-26,39,8012,8624,4922,20718,16565,17607,21775,16976,18060,19661,16088,17082,0,0,0.07933625436168117,0.02602902573098803,0.02602902573098803,0.12894027944674952,0.056219711762639464,0.056219711762639464,0.029732229276612808,0,0,1691,411,453,2748,888,978,634,0,0,2555,4614,634,132969,135028,131048
2022-10-03,40,7050,7589,4331,20036,17215,17788,22152,18011,18651,17815,16186,16677,0,0,0.07933625436168117,0.02326329546482484,0.02326329546482484,0.12894027944674952,0.05517016077625244,0.05517016077625244,0.029732229276612808,0,0,1644,385,410,2808,937,996,585,0,0,2439,4741,585,135408,139769,131633
2022-10-10,41,6204,6678,3811,19292,17773,17943,22468,18922,19171,15805,16122,16188,0,0,0.07933625436168117,0.020497565198661652,0.020497565198661652,0.12894027944674952,0.05412060978986542,0.05412060978986542,0.029732229276612808,0,0,1590,353,365,2856,975,1009,530,0,0,2308,4840,530,137716,144609,132163
2022-10-17,42,5459,5876,3354,18506,18260,18082,22743,19724,19628,13653,15920,15628,0,0,0.07933625436168117,0.017731834932498462,0.017731834932498462,0.12894027944674952,0.0530710588034784,0.0530710588034784,0.029732229276612808,0,0,1531,315,318,2897,1004,1017,470,0,0,2164,4918,470,139880,149527,132633
2022-10-24,43,4804,5171,2951,17693,18692,18214,22992,20429,20031,11376,15599,15010,0,0,0.07933625436168117,0.014966104666335273,0.014966104666335273,0.12894027944674952,0.052021507817091375,0.052021507817091375,0.029732229276612808,0,0,1468,273,271,2932,1026,1021,406,0,0,2012,4979,406,141892,154506,133039
2022-10-31,44,4227,4550,2597,16866,19085,18346,23231,21050,20385,8988,15179,14343,0,0,0.07933625436168117,0.012200374400172083,0.012200374400172083,0.12894027944674952,0.050971956830704344,0.050971956830704344,0.029732229276612808,0,0,1404,228,222,2965,1041,1021,338,0,0,1854,5027,338,143746,159533,133377
2022-11-07,45,3720,4004,2285,16035,19451,18485,23471,21596,20697,6500,14674,13637,0,0,0.07933625436168117,0.009434644134008893,0.009434644134008893,0.12894027944674952,0.049922405844317334,0.049922405844317334,0.029732229276612808,0,0,1338,180,173,2995,1051,1018,267,0,0,1691,5064,267,145437,164597,133644
2022-11-14,46,3273,3523,2011,15210,19802,18636,23725,22077,20971,3921,14100,12899,0,0,0.07933625436168117,0.006668913867845697,0.006668913867845697,0.12894027944674952,0.04887285485793031,0.04887285485793031,0.029732229276612808,0,0,1272,130,123,3026,1055,1012,193,0,0,1525,5093,193,146962,169690,133837
2022-11-21,47,2880,3100,1770,14396,20148,18804,24001,22500,21212,1255,13467,12137,0,0,0.07933625436168117,0.003903183601682507,0.003903183601682507,0.12894027944674952,0.047823303871543286,0.047823303871543286,0.029732229276612808,0,0,1207,77,73,3059,1056,1003,117,0,0,1357,5118,117,148319,174808,133954
2022-11-28,48,2534,2728,1558,13600,20497,18995,24310,22872,21424,346,12787,11357,0,0,0.07933625436168117,0.0011374533355193173,0.0011374533355193173,0.12894027944674952,0.04677375288515627,0.04677375288515627,0.029732229276612808,0,0,1142,23,21,3095,1052,992,37,0,0,1186,5139,37,149505,179947,133991
2022-12-05,49,2230,2401,1371,12825,20824,19182,24604,23199,21611,304,12068,10564,0,0,0.07933625436168117,0,0,0.12894027944674952,0.04572420189876924,0.04572420189876924,0.029732229276612808,0,0,1079,0,0,3135,1046,980,10,0,0,1079,5161,10,150584,185108,134001
2022-12-12,50,1962,2113,1206,12076,21112,19347,24863,23487,21776,268,11320,9764,0,0,0.07933625436168117,0,0,0.12894027944674952,0.04467465091238222,0.04467465091238222,0.029732229276612808,0,0,1017,0,0,3172,1036,965,9,0,0,1017,5173,9,151601,190281,134010
2022-12-19,51,1726,1859,1061,11354,21366,19492,25091,23741,21921,236,10549,8959,0,0,0.07933625436168117,0,0,0.12894027944674952,0.0436250999259952,0.0436250999259952,0.029732229276612808,0,0,958,0,0,3206,1025,950,8,0,0,958,5181,8,152559,195462,134018
2022-12-26,52,1519,1636,934,10660,21589,19619,25291,23964,22048,207,9761,8153,0,0,0.07933625436168117,0,0,0.12894027944674952,0.042575548939608174,0.042575548939608174,0.029732229276612808,0,0,901,0,0,3235,1011,933,7,0,0,901,5179,7,153460,200641,134025
2023-01-02,53,1337,1440,822,9996,21785,19731,25467,24160,22160,182,8962,7349,0,0,0.07933625436168117,0,0,0.12894027944674952,0.04152599795322116,0.04152599795322116,0.029732229276612808,0,0,846,0,0,3261,995,916,6,0,0,846,5172,6,154306,205813,134031
2023-01-09,54,1177,1267,723,9363,21958,19830,25622,24333,22259,160,8157,6551,0,0,0.07933625436168117,0,0,0.12894027944674952,0.04047644696683414,0.04047644696683414,0.029732229276612808,0,0,793,0,0,3284,978,897,5,0,0,793,5159,5,155099,210972,134036
2023-01-16,55,1036,1115,636,8761,22110,19917,25758,24485,22346,141,7350,5760,0,0,0.07933625436168117,0,0,0.12894027944674952,0.03942689598044711,0.03942689598044711,0.029732229276612808,0,0,743,0,0,3304,959,878,5,0,0,743,5141,5,155842,216113,134041
2023-01-23,56,912,981,560,8190,22244,19993,25878,24619,22422,124,6544,4978,0,0,0.07933625436168117,0,0,0.12894027944674952,0.03837734499406009,0.03837734499406009,0.029732229276612808,0,0,695,0,0,3321,940,858,4,0,0,695,5119,4,156537,221232,134045
2023-01-30,57,803,863,493,7649,22362,20060,25983,24737,22489,109,5743,4208,0,0,0.07933625436168117,0,0,0.12894027944674952,0.03732779400767307,0.03732779400767307,0.029732229276612808,0,0,650,0,0,3337,919,837,4,0,0,650,5093,4,157187,226325,134049
2023-02-06,58,707,759,434,7138,22466,20119,26076,24841,22548,96,4950,3451,0,0,0.07933625436168117,0,0,0.12894027944674952,0.036278243021286044,0.036278243021286044,0.029732229276612808,0,0,607,0,0,3350,897,816,3,0,0,607,5063,3,157794,231388,134052
