lad_code,lad_name,Number of arrivals (7 June),total_3jun,percent_3jun,temp_3jun,temp_percent_3jun,Number of arrivals (5 July),total_1jul,percent_1jul,temp_1jul,temp_percent_1jul,Number of arrivals (2 August),total_29jul,percent_29jul,temp_29jul,temp_percent_29jul,Number of arrivals (30 August),total_26aug,percent_26aug,temp_26aug,temp_percent_26aug,Number of arrivals (27 September),total_23sep,percent_23sep,temp_23sep,temp_percent_23sep,Number of arrivals (25 October),total_21oct,percent_21oct,temp_21oct,temp_percent_21oct,Number of arrivals (22 November),total_18nov,percent_18nov,temp_18nov,temp_percent_18nov,ltla21_name,region21_name,region21_code,total_delta,percent_delta,temp_delta,temp_percent_delta
E07000127,West Lancashire,71,0,0,0,0,87,0,0,0,0,97,0,0,0,0,106,1,0.009433962264150943,0,0,114,2,0.017543859649122806,0,0,117,2,0.017094017094017096,0,0,115,3,0.02608695652173913,0,0,West Lancashire,North West,E12000002,3,0.02608695652173913,0,0
E07000142,West Lindsey,56,0,0,0,0,77,0,0,0,0,92,0,0,0,0,98,0,0,0,0,103,1,0.009708737864077669,0,0,105,3,0.02857142857142857,0,0,106,3,0.02830188679245283,0,0,West Lindsey,East Midlands,E12000004,3,0.02830188679245283,0,0
E06000062,West Northamptonshire,394,2,0.005076142131979695,0,0,467,3,0.006423982869379015,0,0,529,0,0,0,0,564,4,0.0070921985815602835,0,0,606,8,0.013201320132013201,7,0.01155115511551155,635,0,0,0,0,646,16,0.02476780185758514,15,0.02321981424148607,West Northamptonshire,East Midlands,E12000004,14,0.019691659725605444,15,0.02321981424148607
E07000181,West Oxfordshire,186,0,0,0,0,242,0,0,0,0,290,1,0.0034482758620689655,0,0,313,1,0.003194888178913738,0,0,336,1,0.002976190476190476,0,0,347,1,0.002881844380403458,0,0,350,4,0.011428571428571429,0,0,West Oxfordshire,South East,E12000008,4,0.011428571428571429,0,0
E07000245,West Suffolk,178,2,0.011235955056179775,0,0,225,0,0,0,0,255,0,0,0,0,290,0,0,0,0,303,5,0.0165016501650165,1,0.0033003300330033004,306,5,0.016339869281045753,0,0,311,5,0.01607717041800643,1,0.003215434083601286,West Suffolk,East of England,E12000006,3,0.004841215361826655,1,0.003215434083601286
E09000033,Westminster,260,13,0.05,8,0.03076923076923077,344,16,0.046511627906976744,12,0.03488372093023256,404,25,0.06188118811881188,18,0.04455445544554455,463,28,0.06047516198704104,21,0.04535637149028078,522,29,0.05555555555555555,25,0.04789272030651341,558,29,0.05197132616487455,24,0.043010752688172046,587,0,0,0,0,Westminster,London,E12000007,-13,-0.05,-8,-0.03076923076923077
E08000010,Wigan,78,0,0,0,0,87,2,0.022988505747126436,0,0,98,3,0.030612244897959183,0,0,103,0,0,0,0,119,0,0,0,0,119,0,0,0,0,126,3,0.023809523809523808,0,0,Wigan,North West,E12000002,3,0.023809523809523808,0,0
E06000054,Wiltshire,601,8,0.013311148086522463,3,0.004991680532445923,847,9,0.010625737898465172,3,0.0035419126328217238,961,9,0.009365244536940686,2,0.002081165452653486,1058,18,0.017013232514177693,7,0.006616257088846881,1123,19,0.016918967052537846,4,0.003561887800534283,1177,21,0.01784197111299915,3,0.002548853016142736,1195,26,0.021757322175732216,4,0.0033472803347280333,Wiltshire,South West,E12000009,18,0.008446174089209753,1,-0.00164440019771789
E07000094,Winchester,280,0,0,0,0,356,3,0.008426966292134831,0,0,397,0,0,0,0,430,4,0.009302325581395349,0,0,445,9,0.020224719101123594,2,0.0044943820224719105,457,19,0.04157549234135667,0,0,465,0,0,0,0,Winchester,South East,E12000008,0,0,0,0
E06000040,Windsor & Maidenhead,195,0,0,0,0,246,0,0,0,0,275,0,0,0,0,300,0,0,0,0,332,0,0,0,0,340,0,0,0,0,355,0,0,0,0,Windsor and Maidenhead,South East,E12000008,0,0,0,0
